over_id,over_overNumber,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_totalInningRuns,over_totalInningWickets,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
48697,12,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,4.0,1.0,0.0,4.0,25.0,3.0,2019-03-22T11:40:31Z,4.0,False,,,,351.0,Chris Tremain,777.0,Jake Lehmann,288.0,Travis Head,340.0,88.0,Right,Cover,0.0,0.0,0.0,0.0,,LengthBall,Null,Played,0,BackwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,142.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
48697,12,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,4.0,1.0,0.0,4.0,25.0,3.0,2019-03-22T11:41:05Z,5.0,False,,,,351.0,Chris Tremain,777.0,Jake Lehmann,288.0,Travis Head,90.0,48.0,Right,Wicketkeeper,0.0,0.0,0.0,0.0,,LengthBall,Null,MissedLegSide,0,Glance,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,142.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
48697,12,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,4.0,1.0,0.0,4.0,25.0,3.0,2019-03-22T11:41:39Z,6.0,False,,,,351.0,Chris Tremain,777.0,Jake Lehmann,288.0,Travis Head,90.0,48.0,Right,Wicketkeeper,0.0,0.0,0.0,0.0,,LengthBall,Null,NoShot,0,NoShot,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,142.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
48722,13,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,4.0,0.0,1.0,5.0,30.0,3.0,2019-03-22T11:42:56Z,1.0,False,,,,1068.0,Andrew Fekete,288.0,Travis Head,777.0,Jake Lehmann,175.0,124.0,Right,Backward Square Leg,2.0,0.0,2.0,2.0,,BackOfALength,Null,Played,0,Worked,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,99.0,False,False,False,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False
48722,13,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,4.0,0.0,1.0,5.0,30.0,3.0,2019-03-22T11:43:35Z,2.0,False,,,,1068.0,Andrew Fekete,288.0,Travis Head,777.0,Jake Lehmann,332.0,70.0,Right,Extra Cover,0.0,0.0,0.0,0.0,,BackOfALength,Null,Played,0,BackwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,99.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
48722,13,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,4.0,0.0,1.0,5.0,30.0,3.0,2019-03-22T11:44:12Z,3.0,False,,,,1068.0,Andrew Fekete,288.0,Travis Head,777.0,Jake Lehmann,141.0,127.0,Right,Fine Leg,1.0,0.0,1.0,1.0,,BackOfALength,Null,Played,0,Worked,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,99.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False
48722,13,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,4.0,0.0,1.0,5.0,30.0,3.0,2019-03-22T11:45:01Z,4.0,False,,,,1068.0,Andrew Fekete,777.0,Jake Lehmann,288.0,Travis Head,328.0,89.0,Right,Extra Cover,0.0,0.0,0.0,0.0,,LengthBall,Null,Played,0,ForwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,99.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
48722,13,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,4.0,0.0,1.0,5.0,30.0,3.0,2019-03-22T11:45:37Z,5.0,False,,,,1068.0,Andrew Fekete,777.0,Jake Lehmann,288.0,Travis Head,125.0,130.0,Right,Fine Leg,1.0,0.0,1.0,1.0,,LengthBall,Null,Played,0,Glance,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,99.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False
48722,13,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,4.0,0.0,1.0,5.0,30.0,3.0,2019-03-22T11:46:18Z,6.0,False,,,,1068.0,Andrew Fekete,288.0,Travis Head,777.0,Jake Lehmann,161.0,111.0,Right,Backward Square Leg,0.0,1.0,1.0,0.0,,LengthBall,Null,PlayAndMiss,0,Worked,Null,Over,Fast,Left,Null,Null,False,False,False,True,False,False,99.0,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,False,False
48725,14,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,2.0,0.0,1.0,2.0,32.0,3.0,2019-03-22T11:47:23Z,1.0,False,,,,351.0,Chris Tremain,288.0,Travis Head,777.0,Jake Lehmann,90.0,48.0,Right,Wicketkeeper,1.0,1.0,1.0,0.0,,Short,Null,NoShot,0,NoShot,Null,Over,Fast,Left,Null,Null,True,False,False,False,False,False,142.0,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,False,False
