over_id,over_overNumber,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled
26302,25,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26302,25,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26304,26,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26304,26,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26304,26,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26304,26,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26304,26,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26304,26,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26307,27,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26307,27,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26307,27,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26307,27,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26307,27,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26307,27,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26309,28,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26309,28,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26309,28,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26309,28,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26309,28,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26309,28,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26311,29,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26311,29,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26311,29,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26311,29,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26311,29,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26311,29,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26313,30,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26313,30,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26313,30,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26313,30,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26313,30,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26313,30,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26315,31,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26315,31,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26315,31,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26315,31,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26315,31,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26315,31,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26315,31,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26315,31,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26317,32,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26317,32,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26317,32,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26317,32,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26317,32,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26317,32,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26317,32,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26321,33,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26321,33,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26321,33,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26321,33,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26321,33,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26321,33,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26324,34,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26324,34,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26324,34,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26324,34,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26324,34,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26324,34,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26325,35,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26325,35,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
