over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_runrate,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
714777,4,5.0,0.0,1.0,6.0,5.75,23.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T12:59:09Z,3,False,10440,Graham Hume,733,Chamu Chibhabha,8201,Innocent Kaia,211,49,Short Extra Cover,0,0,0,0,BackOfALength,OutsideOff,NotOut,None,BackFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
714777,4,5.0,0.0,1.0,6.0,5.75,23.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T12:59:44Z,4,False,10440,Graham Hume,733,Chamu Chibhabha,8201,Innocent Kaia,217,45,Short Extra Cover,0,0,0,0,LengthBall,OutsideOff,NotOut,MisTimed,NoMovement,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
714777,4,5.0,0.0,1.0,6.0,5.75,23.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T13:00:23Z,5,False,10440,Graham Hume,733,Chamu Chibhabha,8201,Innocent Kaia,241,59,Silly Mid Off,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
714777,4,5.0,0.0,1.0,6.0,5.75,23.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T13:01:02Z,6,False,10440,Graham Hume,733,Chamu Chibhabha,8201,Innocent Kaia,134,136,Third Man,1,0,1,1,BackOfALength,OutsideOff,NotOut,None,NoMovement,LateCut,OffCutter,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
714778,5,1.0,0.0,0.0,1.0,4.8,24.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T13:02:02Z,1,False,260,Josh Little,733,Chamu Chibhabha,8201,Innocent Kaia,90,48,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Missed,BackFoot,LateCut,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,215,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
714778,5,1.0,0.0,0.0,1.0,4.8,24.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T13:02:37Z,2,False,260,Josh Little,733,Chamu Chibhabha,8201,Innocent Kaia,160,80,Backward Point,0,0,0,0,BackOfALength,LegStump,NotOut,MisTimed,BackFoot,Dropped,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,215,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
714778,5,1.0,0.0,0.0,1.0,4.8,24.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T13:03:07Z,3,False,260,Josh Little,733,Chamu Chibhabha,8201,Innocent Kaia,247,57,Silly Mid Off,0,0,0,0,LengthBall,MiddleStump,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,215,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
714778,5,1.0,0.0,0.0,1.0,4.8,24.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T13:03:52Z,4,False,260,Josh Little,733,Chamu Chibhabha,8201,Innocent Kaia,215,55,Short Extra Cover,0,0,0,0,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Drive,NoMovement,Round,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,215,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
714778,5,1.0,0.0,0.0,1.0,4.8,24.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T13:04:22Z,5,False,260,Josh Little,733,Chamu Chibhabha,8201,Innocent Kaia,35,132,Fine Leg,1,0,1,1,LengthBall,OutsideOff,NotOut,None,FrontFoot,Flick,NoMovement,Round,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,215,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
714778,5,1.0,0.0,0.0,1.0,4.8,24.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T13:04:59Z,6,False,260,Josh Little,8201,Innocent Kaia,733,Chamu Chibhabha,300,93,Mid On,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Worked,NoMovement,Round,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,215,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
714779,6,5.0,0.0,0.0,5.0,4.83,29.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T13:05:52Z,1,False,10440,Graham Hume,733,Chamu Chibhabha,8201,Innocent Kaia,240,39,Silly Mid Off,0,0,0,0,BackOfALength,OutsideOff,NotOut,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
