over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
41168,4,,,,1.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:23:05Z,3,False,,,,472.0,,1371.0,Ross Taylor,160.0,Kane Williamson,224.0,51.0,Left,Short Extra Cover,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41168,4,,,,1.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:23:38Z,4,False,,,,472.0,,1371.0,Ross Taylor,160.0,Kane Williamson,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,ForwardDefensive,SeamAway,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41168,4,,,,1.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:24:20Z,5,False,,,,472.0,,1371.0,Ross Taylor,160.0,Kane Williamson,287.0,97.0,Left,Mid On,0.0,0,0,0.0,,HalfVolley,OutsideOff,NotOut,None,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41168,4,,,,1.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:24:55Z,6,False,,,,472.0,,1371.0,Ross Taylor,160.0,Kane Williamson,349.0,77.0,Left,Square Leg,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41169,5,,,,,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:25:58Z,1,False,,,,213.0,,160.0,Kane Williamson,1371.0,Ross Taylor,94.0,37.0,Left,Wicketkeeper,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,BottomEdge,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41169,5,,,,,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:26:36Z,2,False,,,,213.0,,160.0,Kane Williamson,1371.0,Ross Taylor,156.0,73.0,Left,Backward Point,0.0,0,0,0.0,,BackOfALength,OutsideOff,NotOut,None,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41169,5,,,,,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:27:12Z,3,False,,,,213.0,,160.0,Kane Williamson,1371.0,Ross Taylor,270.0,40.0,Left,Bowler,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,NoMovement,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41169,5,,,,,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:27:47Z,4,False,,,,213.0,,160.0,Kane Williamson,1371.0,Ross Taylor,166.0,82.0,Left,Backward Point,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,ThickEdge,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41169,5,,,,,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:28:27Z,5,False,,,,213.0,,160.0,Kane Williamson,1371.0,Ross Taylor,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,,Short,OutsideOff,NotOut,Left,Ducked,NoShot,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41169,5,,,,,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:29:05Z,6,False,,,,213.0,,160.0,Kane Williamson,1371.0,Ross Taylor,160.0,42.0,Left,Gully,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41170,6,,,,1.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:30:03Z,1,False,,,,472.0,,1371.0,Ross Taylor,160.0,Kane Williamson,223.0,52.0,Left,Short Extra Cover,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
