over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude,matchName
1605101,5,10.4,16,0,0,52,2,16,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546075,2026-07-01T16:54:06Z,2,27,False,,,,354,Luke Wood,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,,4,0,4,4,,BackOfALength,OutsideOff,,WellTimed,BacksAway,Cut,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,True,False,False,False,4,0,0,0,0,True,False,27.0,165.0,
1605101,5,10.4,16,0,0,52,2,16,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546076,2026-07-01T16:54:44Z,3,28,False,,,,354,Luke Wood,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,,4,0,4,4,,LengthBall,OffStump,,WellTimed,BacksAway,Drive,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,True,False,False,False,4,0,0,0,0,True,False,33.0,165.0,
1605101,5,10.4,16,0,0,52,2,16,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546077,2026-07-01T16:55:47Z,4,29,False,,,,354,Luke Wood,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,,4,0,4,4,,BackOfALength,OutsideOff,,WellTimed,FrontFoot,Drive,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,True,False,False,False,4,0,0,0,0,True,False,297.0,179.0,
1605101,5,10.4,16,0,0,52,2,16,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546078,2026-07-01T16:56:30Z,5,5,False,,,,354,Luke Wood,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,Deep Square Leg,3,0,3,3,,Short,OutsideOff,,WellTimed,BackFoot,Pull,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,3,0,0,0,0,False,False,193.0,164.0,
1605101,5,10.4,16,0,0,52,2,16,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546079,2026-07-01T16:57:15Z,6,31,False,,,,354,Luke Wood,10922,Shreyas Iyer,2665,Abhishek Sharma,Right,Cover,1,0,1,1,,LengthBall,MiddleStump,,Spliced,BackFoot,BackwardDefensive,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,184.0,69.0,
1605102,6,10.17,9,0,0,61,2,9,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546080,2026-07-01T16:58:16Z,1,32,False,,,,474,Will Jacks,10922,Shreyas Iyer,2665,Abhishek Sharma,Right,Deep Mid Wicket,2,0,2,2,,LengthBall,MiddleStump,,WellTimed,BackFoot,Worked,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,2,0,0,0,0,False,False,304.0,132.0,
1605102,6,10.17,9,0,0,61,2,9,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546081,2026-07-01T16:58:45Z,2,33,False,,,,474,Will Jacks,10922,Shreyas Iyer,2665,Abhishek Sharma,Right,Mid Off,1,0,1,1,,BackOfALength,OffStump,,None,BackFoot,Pushed,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,246.0,75.0,
1605102,6,10.17,9,0,0,61,2,9,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546082,2026-07-01T16:59:14Z,3,34,False,,,,474,Will Jacks,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,Extra Cover,0,0,0,0,,LengthBall,OffStump,,MisTimed,BackFoot,Cut,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,307.0,66.0,
1605102,6,10.17,9,0,0,61,2,9,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546083,2026-07-01T16:59:36Z,4,35,False,,,,474,Will Jacks,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,,4,0,4,4,,LengthBall,OutsideOff,,WellTimed,FrontFoot,Slog,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,True,False,False,False,4,0,0,0,0,True,False,232.0,178.0,
1605102,6,10.17,9,0,0,61,2,9,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546084,2026-07-01T17:00:04Z,5,36,False,,,,474,Will Jacks,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,Long Off,1,0,1,1,,LengthBall,MiddleStump,,None,FrontFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,288.0,151.0,
