over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,matchName
1602594,5,6.6,3,0,0,33,3,3,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530915,2026-06-26T12:53:27Z,2,27,False,,,,2667,Arshdeep Singh,2259,Lorcan Tucker,4097,Ben Calitz,158.0,40.0,Right,Backward Point,0,0,0,0,,LengthBall,LegStump,,None,BackFoot,Dropped,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602594,5,6.6,3,0,0,33,3,3,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530917,2026-06-26T12:54:05Z,3,28,False,,,,2667,Arshdeep Singh,2259,Lorcan Tucker,4097,Ben Calitz,72.0,126.0,Right,Fine Leg,2,0,2,2,,LengthBall,OutsideOff,,None,MovesInfront,Scoop,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,True,False,False,False,2,0,0,0,0,False,False,
1602594,5,6.6,3,0,0,33,3,3,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530918,2026-06-26T12:54:56Z,4,29,False,,,,2667,Arshdeep Singh,2259,Lorcan Tucker,4097,Ben Calitz,161.0,39.0,Right,Backward Point,0,0,0,0,,LengthBall,MiddleStump,,None,BackFoot,Dropped,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602594,5,6.6,3,0,0,33,3,3,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530920,2026-06-26T12:55:40Z,5,30,False,,,,2667,Arshdeep Singh,2259,Lorcan Tucker,4097,Ben Calitz,184.0,84.0,Right,Cover,0,0,0,0,,LengthBall,OffStump,,None,BackFoot,Drive,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602594,5,6.6,3,0,0,33,3,3,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530922,2026-06-26T12:56:27Z,6,31,False,,,,2667,Arshdeep Singh,2259,Lorcan Tucker,4097,Ben Calitz,152.0,63.0,Right,Backward Point,1,0,1,1,,LengthBall,OutsideOff,,None,BackFoot,Dropped,NoMovement,Round,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,
1602596,6,6.0,3,0,0,36,3,3,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530926,2026-06-26T12:57:48Z,1,32,False,,,,10208,Harshit Rana,2259,Lorcan Tucker,4097,Ben Calitz,,,Right,Wicketkeeper,1,1,1,0,,LengthBall,MiddleStump,,PlayAndMissLegSide,FrontFoot,Flick,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,True,False,False,False,False,True,,False,False,True,False,False,False,1,0,1,0,0,False,False,
1602596,6,6.0,3,0,0,36,3,3,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530927,2026-06-26T12:58:34Z,1,33,False,,,,10208,Harshit Rana,2259,Lorcan Tucker,4097,Ben Calitz,14.0,55.0,Right,Backward Square Leg,1,0,1,1,,BackOfALength,OutsideOff,,None,BackFoot,Worked,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,
1602596,6,6.0,3,0,0,36,3,3,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530930,2026-06-26T12:59:17Z,2,34,False,,,,10208,Harshit Rana,4097,Ben Calitz,2259,Lorcan Tucker,,,Left,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,,Missed,FrontFoot,Drive,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602596,6,6.0,3,0,0,36,3,3,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530932,2026-06-26T12:59:57Z,3,35,False,,,,10208,Harshit Rana,4097,Ben Calitz,2259,Lorcan Tucker,,,Left,Wicketkeeper,0,0,0,0,,LengthBall,Wide,,Missed,FrontFoot,Drive,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602596,6,6.0,3,0,0,36,3,3,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530935,2026-06-26T13:00:38Z,4,36,False,,,,10208,Harshit Rana,4097,Ben Calitz,2259,Lorcan Tucker,30.0,148.0,Left,Deep Backward Point,1,0,1,1,,HalfVolley,OutsideOff,,ThickEdge,FrontFoot,Drive,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,
