over_id,over_overNumber,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,over_runsConceded,over_wickets,over_runsExtras
45723,6,10.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T13:59:01Z,4,False,852.0,Adam Zampa,203.0,,206.0,,320.0,121.0,Left,Mid On,1.0,0,1,1.0,LengthBall,LegStump,NotOut,None,BackFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,True,89.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45723,6,10.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T13:59:25Z,5,False,852.0,Adam Zampa,206.0,,203.0,,326.0,140.0,Left,Deep Mid Wicket,1.0,0,1,1.0,LengthBall,LegStump,NotOut,None,BackFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,True,89.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45723,6,10.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:00:02Z,6,False,852.0,Adam Zampa,203.0,,206.0,,76.0,42.0,Left,Wicketkeeper,1.0,1,1,0.0,LengthBall,DownLeg,NotOut,PlayAndMissLegSide,BackFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,True,False,False,False,False,True,89.0,False,False,False,False,True,False,0.0,0.0,1.0,0.0,0.0,False,False,,,,,,,
45723,6,10.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:00:26Z,6,False,852.0,Adam Zampa,203.0,,206.0,,90.0,48.0,Left,Wicketkeeper,1.0,1,1,0.0,LengthBall,Wide,NotOut,Missed,BackFoot,Cut,LegSpinner,Over,LegSpin,Left,Null,Null,True,False,False,False,False,True,89.0,False,False,False,False,True,False,0.0,0.0,1.0,0.0,0.0,False,False,,,,,,,
45723,6,10.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:00:50Z,6,False,852.0,Adam Zampa,203.0,,206.0,,181.0,86.0,Left,Point,1.0,0,1,1.0,LengthBall,OutsideOff,NotOut,None,BackFoot,Cut,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,True,89.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45724,7,6.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:02:11Z,1,False,1149.0,Pat Cummins,203.0,,206.0,,355.0,134.0,Left,Deep Square Leg,1.0,0,1,1.0,BackOfALength,OffStump,NotOut,None,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,83.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45724,7,6.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:02:46Z,2,False,1149.0,Pat Cummins,206.0,,203.0,,135.0,137.0,Left,Third Man,1.0,0,1,1.0,BackOfALength,OutsideOff,NotOut,None,BackFoot,Cut,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,83.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45724,7,6.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:03:24Z,3,False,1149.0,Pat Cummins,203.0,,206.0,,5.0,148.0,Left,Deep Square Leg,1.0,0,1,1.0,LengthBall,LegStump,NotOut,None,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,83.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45724,7,6.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:04:01Z,4,False,1149.0,Pat Cummins,206.0,,203.0,,314.0,155.0,Left,Long On,1.0,0,1,1.0,BackOfALength,OutsideOff,NotOut,MisTimed,BackFoot,Hook,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,83.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45724,7,6.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T14:04:38Z,5,False,1149.0,Pat Cummins,203.0,,206.0,,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,BackOfALength,LegStump,NotOut,Missed,BacksAway,Slog,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,83.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
