over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,over_runrate,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId
64382,15,4.0,0.0,0.0,,,4.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:33:23Z,2,False,,,,55.0,Danny Briggs,80.0,Stephen Eskinazi,81.0,Dawid Malan,359.0,132.0,Left,Deep Square Leg,1.0,0,1,1.0,,LengthBall,Null,Played,0,Worked,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
64382,15,4.0,0.0,0.0,,,4.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:33:46Z,3,False,,,,55.0,Danny Briggs,81.0,Dawid Malan,80.0,Stephen Eskinazi,201.0,64.0,Right,Mid Wicket,1.0,0,1,1.0,,LengthBall,Null,Played,0,Worked,Null,Over,Orthodox,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
64382,15,4.0,0.0,0.0,,,4.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:34:04Z,4,False,,,,55.0,Danny Briggs,80.0,Stephen Eskinazi,81.0,Dawid Malan,226.0,50.0,Left,Short Extra Cover,0.0,0,0,0.0,,LengthBall,Null,Played,0,Drive,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64382,15,4.0,0.0,0.0,,,4.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:34:24Z,5,False,,,,55.0,Danny Briggs,80.0,Stephen Eskinazi,81.0,Dawid Malan,270.0,40.0,Left,Bowler,0.0,0,0,0.0,,LengthBall,Null,Played,0,Drive,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64382,15,4.0,0.0,0.0,,,4.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:34:41Z,6,False,,,,55.0,Danny Briggs,80.0,Stephen Eskinazi,81.0,Dawid Malan,251.0,125.0,Left,Mid Off,1.0,0,1,1.0,,LengthBall,Null,Played,0,Drive,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
64385,16,6.0,0.0,0.0,,,6.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:35:40Z,1,False,,,,643.0,Abidine Sakande,80.0,Stephen Eskinazi,81.0,Dawid Malan,119.0,42.0,Left,Second Slip,0.0,0,0,0.0,,LengthBall,Null,Played,0,Steer,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,31.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64385,16,6.0,0.0,0.0,,,6.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:36:14Z,2,False,,,,643.0,Abidine Sakande,80.0,Stephen Eskinazi,81.0,Dawid Malan,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,,BackOfALength,Null,Missed,0,Cut,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,31.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64385,16,6.0,0.0,0.0,,,6.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:36:44Z,3,False,,,,643.0,Abidine Sakande,80.0,Stephen Eskinazi,81.0,Dawid Malan,166.0,171.0,Left,Deep Backward Point,4.0,0,4,4.0,,LengthBall,Null,HitHard,0,Cut,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,31.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,
64385,16,6.0,0.0,0.0,,,6.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:37:23Z,4,False,,,,643.0,Abidine Sakande,80.0,Stephen Eskinazi,81.0,Dawid Malan,214.0,78.0,Left,Extra Cover,0.0,0,0,0.0,,LengthBall,Null,Played,0,Drive,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,31.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64385,16,6.0,0.0,0.0,,,6.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:37:58Z,5,False,,,,643.0,Abidine Sakande,80.0,Stephen Eskinazi,81.0,Dawid Malan,251.0,88.0,Left,Mid Off,0.0,0,0,0.0,,HalfVolley,Null,Played,0,Drive,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,31.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
