over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
60847,26,6.0,1.0,0.0,128.0,3.0,6.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:35:20Z,3,False,325.0,Imran Qayyum,136.0,James Vince,137.0,Sam Northeast,239.0,163.0,Left,Long Off,2.0,0,2,2.0,FullToss,Null,HitHard,0,Drive,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,2.0,False,False,False,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False,,,,,
60847,26,6.0,1.0,0.0,128.0,3.0,6.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:35:44Z,4,True,325.0,Imran Qayyum,136.0,James Vince,137.0,Sam Northeast,19.0,66.0,Left,Leg Gully,0.0,0,0,0.0,LengthBall,Null,MisTimed,0,SlogSweep,Null,Round,Orthodox,Right,Out2ndUmpire,Null,False,False,False,False,False,False,2.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,Caught,136.0,James Vince,Caught
60847,26,6.0,1.0,0.0,128.0,3.0,6.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:37:59Z,5,False,325.0,Imran Qayyum,137.0,Sam Northeast,138.0,Rilee Rossouw,270.0,39.0,Left,Silly Mid On,0.0,0,0,0.0,HalfVolley,Null,Played,0,Drive,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,2.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
60847,26,6.0,1.0,0.0,128.0,3.0,6.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:38:11Z,6,False,325.0,Imran Qayyum,137.0,Sam Northeast,138.0,Rilee Rossouw,4.0,143.0,Left,Deep Square Leg,1.0,0,1,1.0,LengthBall,Null,Played,0,Worked,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,2.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
60848,27,6.0,0.0,0.0,134.0,3.0,6.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:38:54Z,1,False,321.0,Alex Blake,137.0,Sam Northeast,138.0,Rilee Rossouw,290.0,149.0,Left,Long On,1.0,0,1,1.0,LengthBall,Null,Played,0,Drive,Null,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,20.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
60848,27,6.0,0.0,0.0,134.0,3.0,6.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:39:50Z,2,False,321.0,Alex Blake,138.0,Rilee Rossouw,137.0,Sam Northeast,336.0,155.0,Right,Deep Cover,1.0,0,1,1.0,LengthBall,Null,Played,0,Drive,Null,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,20.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
60848,27,6.0,0.0,0.0,134.0,3.0,6.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:40:14Z,3,False,321.0,Alex Blake,137.0,Sam Northeast,138.0,Rilee Rossouw,359.0,144.0,Left,Deep Square Leg,1.0,0,1,1.0,HalfVolley,Null,Played,0,Glance,Null,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,20.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
60848,27,6.0,0.0,0.0,134.0,3.0,6.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:40:34Z,4,False,321.0,Alex Blake,138.0,Rilee Rossouw,137.0,Sam Northeast,293.0,160.0,Right,Long Off,1.0,0,1,1.0,LengthBall,Null,Played,0,Drive,Null,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,20.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
60848,27,6.0,0.0,0.0,134.0,3.0,6.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:40:57Z,5,False,321.0,Alex Blake,137.0,Sam Northeast,138.0,Rilee Rossouw,345.0,142.0,Left,Deep Mid Wicket,1.0,0,1,1.0,HalfVolley,Null,Played,0,Flick,Null,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,20.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
60848,27,6.0,0.0,0.0,134.0,3.0,6.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:41:18Z,6,False,321.0,Alex Blake,138.0,Rilee Rossouw,137.0,Sam Northeast,291.0,143.0,Right,Long Off,1.0,0,1,1.0,LengthBall,Null,Played,0,Drive,Null,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,20.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
