over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude,fieldingPosition
1630948,5,4.8,3,0,0,24,0,3,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710633,2026-08-22T00:49:23Z,3,28,False,,,,14048,Josh Clarkson,21963,Connor Carroll,3576,Henry Hunt,Left,0,0,0,0,,BackOfALength,OutsideOff,,None,BackFoot,Worked,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,,Bowler
1630948,5,4.8,3,0,0,24,0,3,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710635,2026-08-22T00:49:57Z,4,29,False,,,,14048,Josh Clarkson,21963,Connor Carroll,3576,Henry Hunt,Left,1,0,1,1,,LengthBall,OutsideOff,,None,BackFoot,Drive,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,348.0,150.0,Deep Cover
1630948,5,4.8,3,0,0,24,0,3,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710637,2026-08-22T00:50:34Z,5,30,False,,,,14048,Josh Clarkson,3576,Henry Hunt,21963,Connor Carroll,Right,1,0,1,1,,LengthBall,OutsideOff,,None,FrontFoot,Worked,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,290.0,113.0,Long On
1630948,5,4.8,3,0,0,24,0,3,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710640,2026-08-22T00:51:13Z,6,31,False,,,,14048,Josh Clarkson,21963,Connor Carroll,3576,Henry Hunt,Left,0,0,0,0,,Short,OutsideOff,,Missed,BackFoot,Pull,OffCutter,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,,Wicketkeeper
1630951,6,5.5,9,0,0,33,0,9,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710644,2026-08-22T00:52:43Z,1,32,False,,,,11542,Muhammad Abbas,3576,Henry Hunt,21963,Connor Carroll,Right,1,0,1,1,,BackOfALength,DownLeg,,None,BackFoot,Pull,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,344.0,146.0,Deep Square Leg
1630951,6,5.5,9,0,0,33,0,9,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710649,2026-08-22T00:53:29Z,2,33,False,,,,11542,Muhammad Abbas,21963,Connor Carroll,3576,Henry Hunt,Left,2,0,2,2,,BackOfALength,OutsideOff,,None,BackFoot,Worked,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,2,0,0,0,0,False,False,207.0,54.0,Square Leg
1630951,6,5.5,9,0,0,33,0,9,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710651,2026-08-22T00:54:13Z,3,34,False,,,,11542,Muhammad Abbas,21963,Connor Carroll,3576,Henry Hunt,Left,1,0,1,1,,LengthBall,OutsideOff,,None,FrontFoot,Flick,SlowerBall,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,235.0,144.0,Deep Mid Wicket
1630951,6,5.5,9,0,0,33,0,9,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710653,2026-08-22T00:54:57Z,4,35,False,,,,11542,Muhammad Abbas,3576,Henry Hunt,21963,Connor Carroll,Right,1,0,1,1,,LengthBall,DownLeg,,None,FrontFoot,Drive,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,281.0,139.0,Long On
1630951,6,5.5,9,0,0,33,0,9,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710656,2026-08-22T00:55:34Z,5,36,False,,,,11542,Muhammad Abbas,21963,Connor Carroll,3576,Henry Hunt,Left,1,1,1,0,,HalfTracker,OutsideOff,,Left,Ducked,Leave,NoMovement,Over,Medium,Left,Null,NotReferred,Null,True,False,False,False,False,True,False,False,False,False,False,False,1,0,1,0,0,False,False,,,Wicketkeeper
1630951,6,5.5,9,0,0,33,0,9,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710657,2026-08-22T00:56:13Z,5,37,False,,,,11542,Muhammad Abbas,21963,Connor Carroll,3576,Henry Hunt,Left,1,0,1,1,,BackOfALength,OutsideOff,,None,BackFoot,Worked,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,220.0,112.0,Deep Mid Wicket
