over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,decisionOfficialId
1635531,5,11.8,6,0,0,59,0,6,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738191,2026-08-29T03:53:43Z,5,32,False,21956,,17219,Jerrssis Wadia,21963,,294.0,132.0,Left,Long Off,1,0,1,1,HalfVolley,OutsideOff,None,FrontFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,
1635531,5,11.8,6,0,0,59,0,6,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738192,2026-08-29T03:54:07Z,6,33,False,21956,,21963,,17219,Jerrssis Wadia,59.0,61.0,Left,Gully,1,0,1,1,FullToss,OutsideOff,TopEdge,BackFoot,Cut,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,True,,,,,,
1635532,6,11.33,9,1,0,68,1,9,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738193,2026-08-29T03:55:43Z,1,34,False,14399,Dylan Hunter,21963,,17219,Jerrssis Wadia,,,Left,Bowler,1,0,1,1,HalfVolley,OutsideOff,None,FrontFoot,Drive,StockBall,Over,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,
1635532,6,11.33,9,1,0,68,1,9,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738194,2026-08-29T03:56:15Z,2,35,True,14399,Dylan Hunter,17219,Jerrssis Wadia,21963,,,,Left,,1,0,1,1,,,,0,,StockBall,Over,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,RunOut,17219.0,Jerrssis Wadia,Run out,RunOut,
1635532,6,11.33,9,1,0,68,1,9,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738195,2026-08-29T03:58:11Z,3,36,False,14399,Dylan Hunter,799,Jason Sangha,21963,,164.0,50.0,Right,Backward Point,0,0,0,0,LengthBall,MiddleStump,None,FrontFoot,ReverseSweep,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,,
1635532,6,11.33,9,1,0,68,1,9,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738196,2026-08-29T03:58:27Z,4,37,False,14399,Dylan Hunter,799,Jason Sangha,21963,,69.0,125.0,Right,Fine Leg,2,0,2,2,Yorker,MiddleStump,InsideEdge,FrontFoot,Flick,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,2,0,0,0,0,False,False,,,,,,
1635532,6,11.33,9,1,0,68,1,9,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738197,2026-08-29T03:58:53Z,5,38,False,14399,Dylan Hunter,799,Jason Sangha,21963,,248.0,70.0,Right,Mid Off,1,0,1,1,LengthBall,OutsideOff,None,FrontFoot,ForwardDefensive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,
1635532,6,11.33,9,1,0,68,1,9,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738198,2026-08-29T03:59:29Z,6,39,False,14399,Dylan Hunter,21963,,799,Jason Sangha,236.0,178.0,Left,,4,0,4,4,HalfVolley,OutsideOff,WellTimed,FrontFoot,Slog,StockBall,Over,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,4,0,0,0,0,True,False,,,,,,
1635533,7,11.0,9,0,0,77,1,9,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738199,2026-08-29T04:00:53Z,1,40,False,21955,,799,Jason Sangha,21963,,200.0,148.0,Right,Deep Cover,1,0,1,1,HalfVolley,OutsideOff,WellTimed,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,
1635533,7,11.0,9,0,0,77,1,9,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738200,2026-08-29T04:01:42Z,2,41,False,21955,,21963,,799,Jason Sangha,252.0,140.0,Left,Long On,1,0,1,1,HalfVolley,OutsideOff,MisTimed,FrontFoot,Slog,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,
