over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,fieldingPosition,decisionOfficialId
1632239,5,7.6,5,0,0,38,2,5,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718309,2026-08-23T07:50:53Z,5,29,False,619,Abu Hider Rony,3776,Brad Hope,8520,Teague Wyllie,0.0,0.0,Right,0,0,0,0,LengthBall,OutsideOff,BatPad,FrontFoot,Worked,OffCutter,Round,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,,Bowler,
1632239,5,7.6,5,0,0,38,2,5,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718312,2026-08-23T07:51:28Z,6,30,False,619,Abu Hider Rony,3776,Brad Hope,8520,Teague Wyllie,308.0,62.0,Right,1,0,1,1,BackOfALength,OutsideOff,None,BackFoot,Worked,OffCutter,Round,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Mid Wicket,
1632241,6,7.83,9,0,0,47,2,9,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718316,2026-08-23T07:52:54Z,1,31,False,8640,Ripon Mondol,3776,Brad Hope,8520,Teague Wyllie,318.0,136.0,Right,1,0,1,1,LengthBall,OutsideOff,None,FrontFoot,Worked,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Deep Mid Wicket,
1632241,6,7.83,9,0,0,47,2,9,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718318,2026-08-23T07:53:30Z,2,32,False,8640,Ripon Mondol,8520,Teague Wyllie,3776,Brad Hope,241.0,179.0,Right,4,0,4,4,LengthBall,OutsideOff,WellTimed,DownTheTrack,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,False,False,False,False,4,0,0,0,0,True,False,,,,,,,
1632241,6,7.83,9,0,0,47,2,9,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718319,2026-08-23T07:54:14Z,3,33,False,8640,Ripon Mondol,8520,Teague Wyllie,3776,Brad Hope,192.0,150.0,Right,2,0,2,2,BackOfALength,OutsideOff,None,BackFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,2,0,0,0,0,False,False,,,,,,Deep Cover,
1632241,6,7.83,9,0,0,47,2,9,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718320,2026-08-23T07:54:58Z,4,34,False,8640,Ripon Mondol,8520,Teague Wyllie,3776,Brad Hope,14.0,81.0,Right,1,0,1,1,BackOfALength,OutsideOff,MisTimed,DownTheTrack,Pushed,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Backward Square Leg,
1632241,6,7.83,9,0,0,47,2,9,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718322,2026-08-23T07:55:31Z,5,35,False,8640,Ripon Mondol,3776,Brad Hope,8520,Teague Wyllie,300.0,145.0,Right,1,0,1,1,LengthBall,OutsideOff,None,FrontFoot,Worked,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Deep Mid Wicket,
1632241,6,7.83,9,0,0,47,2,9,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718324,2026-08-23T07:56:06Z,6,36,False,8640,Ripon Mondol,8520,Teague Wyllie,3776,Brad Hope,0.0,0.0,Right,0,0,0,0,LengthBall,OutsideOff,Missed,FrontFoot,Drive,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,,Wicketkeeper,
1632243,7,7.43,5,1,0,52,3,5,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718326,2026-08-23T07:57:12Z,1,37,False,21124,Abdul Gaffar,3776,Brad Hope,8520,Teague Wyllie,33.0,127.0,Right,2,0,2,2,LengthBall,MiddleStump,None,BackFoot,Worked,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,2,0,0,0,0,False,False,,,,,,Fine Leg,
1632243,7,7.43,5,1,0,52,3,5,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718328,2026-08-23T07:57:44Z,2,38,False,21124,Abdul Gaffar,3776,Brad Hope,8520,Teague Wyllie,255.0,71.0,Right,1,0,1,1,LengthBall,OutsideOff,None,FrontFoot,Pushed,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Mid Off,
