over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty
1117131,13,5.15,6.0,0.0,0.0,67.0,4.0,6.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:27:39Z,2,62,False,,,,428.0,Katie Levick,1029.0,Chloe Tryon,412.0,Georgia Adams,250.0,149.0,Long Off,1.0,0,1,1.0,,LengthBall,MiddleStump,NotOut,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
1117131,13,5.15,6.0,0.0,0.0,67.0,4.0,6.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:28:07Z,3,63,False,,,,428.0,Katie Levick,412.0,Georgia Adams,1029.0,Chloe Tryon,198.0,136.0,Deep Cover,2.0,0,2,2.0,,LengthBall,OutsideOff,NotOut,None,BackFoot,Drive,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,False,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False,
1117131,13,5.15,6.0,0.0,0.0,67.0,4.0,6.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:28:27Z,4,64,False,,,,428.0,Katie Levick,412.0,Georgia Adams,1029.0,Chloe Tryon,290.0,143.0,Long On,1.0,0,1,1.0,,HalfVolley,LegStump,NotOut,None,FrontFoot,Worked,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,True,False,956.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
1117131,13,5.15,6.0,0.0,0.0,67.0,4.0,6.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:29:01Z,5,65,False,,,,428.0,Katie Levick,1029.0,Chloe Tryon,412.0,Georgia Adams,202.0,141.0,Deep Cover,1.0,0,1,1.0,,LengthBall,OutsideOff,NotOut,None,BackFoot,Drive,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
1117134,14,5.21,5.0,0.0,0.0,73.0,4.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:30:17Z,1,66,False,,,,760.0,Shabnim Ismail,412.0,Georgia Adams,1029.0,Chloe Tryon,292.0,89.0,Mid On,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,MisTimed,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
1117134,14,5.21,5.0,0.0,0.0,73.0,4.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:30:44Z,2,67,False,,,,760.0,Shabnim Ismail,412.0,Georgia Adams,1029.0,Chloe Tryon,312.0,212.0,Long On,4.0,0,4,4.0,,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Flick,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,956.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,
1117134,14,5.21,5.0,0.0,0.0,73.0,4.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:31:17Z,3,68,False,,,,760.0,Shabnim Ismail,412.0,Georgia Adams,1029.0,Chloe Tryon,160.0,79.0,Backward Point,0.0,0,0,0.0,,BackOfALength,Wide,NotOut,None,BackFoot,Cut,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
1117134,14,5.21,5.0,0.0,0.0,73.0,4.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:31:37Z,4,69,False,,,,760.0,Shabnim Ismail,412.0,Georgia Adams,1029.0,Chloe Tryon,180.0,139.0,Deep Point,1.0,0,1,1.0,,BackOfALength,Wide,NotOut,None,BackFoot,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
1117134,14,5.21,5.0,0.0,0.0,73.0,4.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:32:21Z,5,70,False,,,,760.0,Shabnim Ismail,1029.0,Chloe Tryon,412.0,Georgia Adams,90.0,48.0,Wicketkeeper,0.0,0,0,0.0,,Short,Wide,NotOut,Left,Ducked,Leave,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
1117136,15,5.13,5.0,1.0,1.0,77.0,5.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:33:48Z,1,71,False,,,,3421.0,Georgia Davis,412.0,Georgia Adams,1029.0,Chloe Tryon,47.0,89.0,Short Fine Leg,1.0,0,1,1.0,,LengthBall,OffStump,NotOut,MisTimed,BackFoot,Pull,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0
