over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,fieldingPosition,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,decisionOfficialId
1623164,8,7.5,6,0,0,60,1,6,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654209,2026-08-07T17:55:29Z,3,39,False,14894,Usman Tariq,159,Harry Brook,2646,Ryan Rickelton,,,Right,1,0,1,1,LengthBall,OffStump,None,FrontFoot,Drive,Googly,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,Bowler,,,,,,
1623164,8,7.5,6,0,0,60,1,6,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654213,2026-08-07T17:56:00Z,4,40,False,14894,Usman Tariq,2646,Ryan Rickelton,159,Harry Brook,325.0,70.0,Left,0,0,0,0,LengthBall,Wide,MisTimed,FrontFoot,Drive,Googly,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Extra Cover,,,,,,
1623164,8,7.5,6,0,0,60,1,6,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654218,2026-08-07T17:56:20Z,5,41,False,14894,Usman Tariq,2646,Ryan Rickelton,159,Harry Brook,300.0,140.0,Left,1,0,1,1,LengthBall,OffStump,None,BackFoot,Pushed,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,Long Off,,,,,,
1623167,9,8.22,14,0,0,74,1,14,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654221,2026-08-07T17:57:25Z,1,42,False,8105,Rehan Ahmed,2646,Ryan Rickelton,159,Harry Brook,154.0,118.0,Left,2,0,2,2,BackOfALength,OutsideOff,TopEdge,FrontFoot,Sweep,LegSpinner,Round,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,2,0,0,0,0,False,True,Deep Backward Square Leg,,,,,,
1623167,9,8.22,14,0,0,74,1,14,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654225,2026-08-07T17:57:53Z,2,43,False,8105,Rehan Ahmed,2646,Ryan Rickelton,159,Harry Brook,274.0,180.0,Left,4,0,4,4,LengthBall,OutsideOff,WellTimed,DownTheTrack,Drive,LegSpinner,Round,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,False,False,False,False,4,0,0,0,0,True,False,,,,,,,
1623167,9,8.22,14,0,0,74,1,14,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654228,2026-08-07T17:58:14Z,3,44,False,8105,Rehan Ahmed,2646,Ryan Rickelton,159,Harry Brook,155.0,166.0,Left,6,0,6,6,LengthBall,OffStump,Middled,FrontFoot,SlogSweep,LegSpinner,Round,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,False,False,False,False,6,0,0,0,0,True,False,,,,,,,
1623167,9,8.22,14,0,0,74,1,14,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654233,2026-08-07T17:58:48Z,4,45,False,8105,Rehan Ahmed,2646,Ryan Rickelton,159,Harry Brook,181.0,141.0,Left,1,0,1,1,Short,OutsideOff,None,BackFoot,Pull,LegSpinner,Round,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,Deep Square Leg,,,,,,
1623167,9,8.22,14,0,0,74,1,14,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654245,2026-08-07T17:59:30Z,5,46,False,8105,Rehan Ahmed,159,Harry Brook,2646,Ryan Rickelton,246.0,159.0,Right,1,0,1,1,LengthBall,OutsideOff,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,False,False,False,False,1,0,0,0,0,False,False,Long Off,,,,,,
1623173,10,8.2,8,0,0,82,1,8,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654253,2026-08-07T18:00:26Z,1,47,False,2721,Jordan Thompson,2646,Ryan Rickelton,159,Harry Brook,,,Left,0,0,0,0,LengthBall,DownLeg,Missed,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Wicketkeeper,,,,,,
1623173,10,8.2,8,0,0,82,1,8,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654260,2026-08-07T18:00:57Z,2,48,False,2721,Jordan Thompson,2646,Ryan Rickelton,159,Harry Brook,307.0,147.0,Left,2,0,2,2,LengthBall,DownLeg,MisTimed,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,2,0,0,0,0,False,True,Deep Extra Cover,,,,,,
