over_id,over_overNumber,over_runrate,over_totalInningRuns,over_totalInningWickets,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
49411,5,,36,2,3.0,0.0,0.0,3.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,2,False,Short Extra Cover,0,0,False,False,2019-03-24T14:56:29Z,214.0,,1192.0,Colin Ingram,204.0,,337.0,56.0,Right,0.0,0.0,LengthBall,DownLeg,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
49411,5,,36,2,3.0,0.0,0.0,3.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,3,False,Short Fine Leg,0,1,False,False,2019-03-24T14:57:02Z,214.0,,1192.0,Colin Ingram,204.0,,146.0,79.0,Right,1.0,1.0,BackOfALength,DownLeg,None,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49411,5,,36,2,3.0,0.0,0.0,3.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,4,False,Extra Cover,0,0,False,False,2019-03-24T14:57:39Z,214.0,,204.0,,1192.0,Colin Ingram,324.0,70.0,Right,0.0,0.0,LengthBall,LegStump,None,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
49411,5,,36,2,3.0,0.0,0.0,3.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,5,False,Silly Point,0,0,False,False,2019-03-24T14:58:09Z,214.0,,204.0,,1192.0,Colin Ingram,286.0,16.0,Right,0.0,0.0,LengthBall,LegStump,InsideEdge,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
49411,5,,36,2,3.0,0.0,0.0,3.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,6,False,Third Slip,0,1,False,False,2019-03-24T14:58:52Z,214.0,,204.0,,1192.0,Colin Ingram,35.0,27.0,Right,1.0,1.0,LengthBall,LegStump,InsideEdge,FrontFoot,Dropped,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49413,6,,45,2,9.0,0.0,0.0,9.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,1,False,Deep Cover,0,4,False,True,2019-03-24T15:00:20Z,210.0,,204.0,,1192.0,Colin Ingram,342.0,180.0,Right,4.0,4.0,BackOfALength,OutsideOff,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,,,,
49413,6,,45,2,9.0,0.0,0.0,9.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,2,False,Deep Point,0,1,False,False,2019-03-24T15:01:08Z,210.0,,204.0,,1192.0,Colin Ingram,354.0,144.0,Right,1.0,1.0,LengthBall,OffStump,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49413,6,,45,2,9.0,0.0,0.0,9.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,3,False,Deep Backward Point,0,1,False,False,2019-03-24T15:01:40Z,210.0,,1192.0,Colin Ingram,204.0,,8.0,140.0,Right,1.0,1.0,BackOfALength,OutsideOff,None,BackFoot,Cut,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49413,6,,45,2,9.0,0.0,0.0,9.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,4,False,Deep Point,0,1,False,False,2019-03-24T15:02:26Z,210.0,,204.0,,1192.0,Colin Ingram,2.0,144.0,Right,1.0,1.0,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49413,6,,45,2,9.0,0.0,0.0,9.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,5,False,Deep Backward Point,0,1,False,False,2019-03-24T15:03:02Z,210.0,,1192.0,Colin Ingram,204.0,,7.0,142.0,Right,1.0,1.0,BackOfALength,OffStump,None,BackFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
