over_id,over_overNumber,over_runrate,over_totalInningRuns,over_totalInningWickets,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId
49522,5,,31,1,9.0,0.0,1.0,9.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,2,False,Backward Point,0,0,False,False,2019-03-25T14:50:10Z,196.0,Ben Stokes,298.0,,1417.0,Chris Gayle,160.0,80.0,Left,0.0,0.0,LengthBall,OutsideOff,None,FrontFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,83.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,,
49522,5,,31,1,9.0,0.0,1.0,9.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,3,False,Mid On,0,1,False,False,2019-03-25T14:50:44Z,196.0,Ben Stokes,298.0,,1417.0,Chris Gayle,307.0,118.0,Left,1.0,1.0,HalfVolley,OutsideOff,MisTimed,FrontFoot,Drive,LegCutter,Over,Fast,Left,Null,Null,False,False,False,False,False,False,83.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,,
49522,5,,31,1,9.0,0.0,1.0,9.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,4,False,Deep Mid Wicket,0,2,False,False,2019-03-25T14:51:29Z,196.0,Ben Stokes,1417.0,Chris Gayle,298.0,,211.0,154.0,Right,2.0,2.0,BackOfALength,DownLeg,WellTimed,BackFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,83.0,False,False,True,False,True,False,2.0,0.0,0.0,0.0,0.0,,,,,
49522,5,,31,1,9.0,0.0,1.0,9.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,5,False,Wicketkeeper,1,1,False,False,2019-03-25T14:52:07Z,196.0,Ben Stokes,1417.0,Chris Gayle,298.0,,90.0,48.0,Right,1.0,0.0,LengthBall,OutsideOff,Left,NoMovement,Leave,SlowerBall,Over,Fast,Left,Null,Null,True,False,False,False,False,False,83.0,False,False,True,False,True,False,0.0,0.0,1.0,0.0,0.0,,,,,
49522,5,,31,1,9.0,0.0,1.0,9.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,5,False,Bowler,0,0,False,False,2019-03-25T14:52:40Z,196.0,Ben Stokes,1417.0,Chris Gayle,298.0,,270.0,40.0,Right,0.0,0.0,BackOfALength,MiddleStump,MisTimed,NoMovement,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,83.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,,
49522,5,,31,1,9.0,0.0,1.0,9.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,6,False,Short Fine Leg,0,1,False,False,2019-03-25T14:53:22Z,196.0,Ben Stokes,1417.0,Chris Gayle,298.0,,130.0,79.0,Right,1.0,1.0,LengthBall,OutsideOff,InsideEdge,NoMovement,Slog,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,83.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,,
49523,6,,32,1,1.0,0.0,0.0,1.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,1,False,Short Mid Wicket,0,0,False,False,2019-03-25T14:54:48Z,53.0,Jofra Archer,1417.0,Chris Gayle,298.0,,216.0,57.0,Right,0.0,0.0,HalfVolley,MiddleStump,None,NoMovement,Worked,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,,
49523,6,,32,1,1.0,0.0,0.0,1.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,2,False,Mid On,0,0,False,False,2019-03-25T14:55:13Z,53.0,Jofra Archer,1417.0,Chris Gayle,298.0,,239.0,84.0,Right,0.0,0.0,LengthBall,OutsideOff,None,BacksAway,Drive,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,,
49523,6,,32,1,1.0,0.0,0.0,1.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,3,False,Mid Off,0,1,False,False,2019-03-25T14:55:44Z,53.0,Jofra Archer,1417.0,Chris Gayle,298.0,,297.0,88.0,Right,1.0,1.0,BackOfALength,OutsideOff,None,NoMovement,Drive,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,,
49523,6,,32,1,1.0,0.0,0.0,1.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,4,False,Wicketkeeper,0,0,False,False,2019-03-25T14:56:22Z,53.0,Jofra Archer,298.0,,1417.0,Chris Gayle,90.0,48.0,Left,0.0,0.0,BackOfALength,OutsideOff,Missed,BackFoot,UpperCut,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,,
