over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,over_runrate,appealDismissalTypeId
58628,5,11.0,0.0,0.0,40.0,1.0,11.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:52:29Z,4,False,212.0,,299.0,,2474.0,Robin Uthappa,196.0,82.0,Left,Cover,1.0,0,1,1.0,LengthBall,MiddleStump,None,BacksAway,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58628,5,11.0,0.0,0.0,40.0,1.0,11.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:53:26Z,5,False,212.0,,2474.0,Robin Uthappa,299.0,,21.0,128.0,Left,Deep Backward Square Leg,1.0,0,1,1.0,LengthBall,OutsideOff,None,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58628,5,11.0,0.0,0.0,40.0,1.0,11.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:54:14Z,6,False,212.0,,299.0,,2474.0,Robin Uthappa,342.0,156.0,Left,Deep Mid Wicket,1.0,0,1,1.0,HalfVolley,MiddleStump,WellTimed,FrontFoot,Flick,SlowerBall,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58635,6,1.0,0.0,0.0,41.0,1.0,1.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:55:36Z,1,False,110.0,,299.0,,2474.0,Robin Uthappa,270.0,40.0,Left,Bowler,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,Pushed,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58635,6,1.0,0.0,0.0,41.0,1.0,1.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:55:49Z,2,False,110.0,,299.0,,2474.0,Robin Uthappa,270.0,40.0,Left,Bowler,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,Pushed,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58635,6,1.0,0.0,0.0,41.0,1.0,1.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:56:03Z,3,False,110.0,,299.0,,2474.0,Robin Uthappa,247.0,136.0,Left,Long Off,1.0,0,1,1.0,LengthBall,OutsideOff,None,FrontFoot,Drive,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58635,6,1.0,0.0,0.0,41.0,1.0,1.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:56:35Z,4,False,110.0,,2474.0,Robin Uthappa,299.0,,15.0,93.0,Left,Backward Square Leg,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,Flick,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58635,6,1.0,0.0,0.0,41.0,1.0,1.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:56:50Z,5,False,110.0,,2474.0,Robin Uthappa,299.0,,306.0,25.0,Left,Short Leg,0.0,0,0,0.0,LengthBall,MiddleStump,HitPad,FrontFoot,Worked,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58635,6,1.0,0.0,0.0,41.0,1.0,1.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:57:05Z,6,False,110.0,,2474.0,Robin Uthappa,299.0,,166.0,82.0,Left,Backward Point,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,Pushed,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58640,7,17.0,0.0,1.0,58.0,1.0,17.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:58:24Z,1,False,701.0,Keemo Paul,299.0,,2474.0,Robin Uthappa,219.0,157.0,Left,Deep Extra Cover,2.0,0,2,2.0,HalfVolley,OutsideOff,None,FrontFoot,Drive,SlowerBall,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,False,False,True,False,2.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58640,7,17.0,0.0,1.0,58.0,1.0,17.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:58:55Z,2,False,701.0,Keemo Paul,299.0,,2474.0,Robin Uthappa,291.0,92.0,Left,Mid On,2.0,1,2,1.0,HalfVolley,OutsideOff,None,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,FrontFoot,False,True,False,False,False,False,38.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,1.0,False,False,,,,,,
58640,7,17.0,0.0,1.0,58.0,1.0,17.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:59:35Z,2,False,701.0,Keemo Paul,2474.0,Robin Uthappa,299.0,,294.0,197.0,Left,Long On,6.0,0,6,6.0,BackOfALength,OutsideOff,Middled,NoMovement,Pull,OffCutter,Over,Fast,Left,Null,Null,False,False,False,False,True,False,38.0,True,False,False,False,True,False,6.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58640,7,17.0,0.0,1.0,58.0,1.0,17.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T16:00:17Z,3,False,701.0,Keemo Paul,2474.0,Robin Uthappa,299.0,,239.0,81.0,Left,Mid Off,1.0,0,1,1.0,LengthBall,OutsideOff,None,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58640,7,17.0,0.0,1.0,58.0,1.0,17.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T16:00:50Z,4,False,701.0,Keemo Paul,299.0,,2474.0,Robin Uthappa,152.0,170.0,Left,Third Man,4.0,0,4,4.0,BackOfALength,OutsideOff,WellTimed,NoMovement,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,False,False,True,False,4.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58640,7,17.0,0.0,1.0,58.0,1.0,17.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T16:01:24Z,5,False,701.0,Keemo Paul,299.0,,2474.0,Robin Uthappa,285.0,152.0,Left,Long On,1.0,0,1,1.0,LengthBall,OutsideOff,Left,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58640,7,17.0,0.0,1.0,58.0,1.0,17.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T16:02:20Z,6,False,701.0,Keemo Paul,2474.0,Robin Uthappa,299.0,,333.0,115.0,Left,Mid Wicket,1.0,0,1,1.0,LengthBall,OutsideOff,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58645,8,4.0,0.0,0.0,62.0,1.0,4.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T16:03:23Z,1,False,110.0,,2474.0,Robin Uthappa,299.0,,221.0,55.0,Left,Short Extra Cover,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,ForwardDefensive,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58645,8,4.0,0.0,0.0,62.0,1.0,4.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T16:03:39Z,2,False,110.0,,2474.0,Robin Uthappa,299.0,,249.0,133.0,Left,Long Off,1.0,0,1,1.0,HalfVolley,OutsideOff,None,FrontFoot,Pushed,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58645,8,4.0,0.0,0.0,62.0,1.0,4.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T16:03:54Z,3,False,110.0,,299.0,,2474.0,Robin Uthappa,249.0,130.0,Left,Long Off,1.0,0,1,1.0,LengthBall,OutsideOff,None,FrontFoot,Drive,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58645,8,4.0,0.0,0.0,62.0,1.0,4.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T16:04:12Z,4,False,110.0,,2474.0,Robin Uthappa,299.0,,12.0,147.0,Left,Deep Backward Square Leg,1.0,0,1,1.0,BackOfALength,OutsideOff,None,BackFoot,Pull,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58645,8,4.0,0.0,0.0,62.0,1.0,4.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T16:04:32Z,5,False,110.0,,299.0,,2474.0,Robin Uthappa,339.0,151.0,Left,Deep Mid Wicket,1.0,0,1,1.0,LengthBall,OutsideOff,None,BackFoot,Worked,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
