over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
878317,6,8.17,3.0,0.0,0.0,49.0,2.0,3.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T16:00:11Z,3,False,2941,Todd Murphy,163,Tom Kohler-Cadmore,1189,David Warner,246,51,Silly Mid Off,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Pushed,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,219,False,False,False,False,True,False,0,0,0,0,0,False,False,,,,
878317,6,8.17,3.0,0.0,0.0,49.0,2.0,3.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T16:00:29Z,4,False,2941,Todd Murphy,163,Tom Kohler-Cadmore,1189,David Warner,297,89,Mid On,1,0,1,1,LengthBall,OutsideOff,NotOut,None,FrontFoot,Worked,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,219,False,False,False,False,True,False,1,0,0,0,0,False,False,,,,
878317,6,8.17,3.0,0.0,0.0,49.0,2.0,3.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T16:00:57Z,5,False,2941,Todd Murphy,1189,David Warner,163,Tom Kohler-Cadmore,320,46,Short Extra Cover,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,219,False,False,False,False,True,False,0,0,0,0,0,False,False,,,,
878317,6,8.17,3.0,0.0,0.0,49.0,2.0,3.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T16:01:13Z,6,False,2941,Todd Murphy,1189,David Warner,163,Tom Kohler-Cadmore,289,151,Long Off,1,0,1,1,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,219,False,False,False,False,True,False,1,0,0,0,0,False,False,,,,
878318,7,7.43,3.0,0.0,0.0,52.0,2.0,3.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T16:02:14Z,1,False,1086,Stephen O'Keefe,1189,David Warner,163,Tom Kohler-Cadmore,329,82,Extra Cover,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,False,False,True,False,0,0,0,0,0,False,False,,,,
878318,7,7.43,3.0,0.0,0.0,52.0,2.0,3.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T16:02:30Z,2,False,1086,Stephen O'Keefe,1189,David Warner,163,Tom Kohler-Cadmore,212,57,Short Mid Wicket,0,0,0,0,LengthBall,DownLeg,NotOut,None,FrontFoot,Worked,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,False,False,True,False,0,0,0,0,0,False,False,,,,
878318,7,7.43,3.0,0.0,0.0,52.0,2.0,3.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T16:02:50Z,3,False,1086,Stephen O'Keefe,1189,David Warner,163,Tom Kohler-Cadmore,197,150,Deep Mid Wicket,1,0,1,1,LengthBall,DownLeg,NotOut,None,FrontFoot,Worked,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,False,False,True,False,1,0,0,0,0,False,False,,,,
878318,7,7.43,3.0,0.0,0.0,52.0,2.0,3.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T16:03:23Z,4,False,1086,Stephen O'Keefe,163,Tom Kohler-Cadmore,1189,David Warner,298,156,Long On,1,0,1,1,FullToss,OffStump,NotOut,None,FrontFoot,Worked,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,False,False,True,False,1,0,0,0,0,False,False,,,,
878318,7,7.43,3.0,0.0,0.0,52.0,2.0,3.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T16:03:47Z,5,False,1086,Stephen O'Keefe,1189,David Warner,163,Tom Kohler-Cadmore,246,155,Long On,1,0,1,1,HalfVolley,MiddleStump,NotOut,None,FrontFoot,Worked,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,False,False,True,False,1,0,0,0,0,False,False,,,,
878318,7,7.43,3.0,0.0,0.0,52.0,2.0,3.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T16:04:12Z,6,False,1086,Stephen O'Keefe,163,Tom Kohler-Cadmore,1189,David Warner,211,50,Short Extra Cover,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Pushed,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,False,False,True,False,0,0,0,0,0,False,False,,,,
