over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
254321,2,6.5,3.0,0.0,1.0,13.0,0.0,3.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:38:36Z,6,False,271,Mujeeb Ur Rahman,590,Chris Lynn,1986,Evin Lewis,270,40,Left,Bowler,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,OffBreak,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,510,False,False,True,False,False,False,0,0,0,0,0,False,False
254324,3,6.33,5.0,0.0,1.0,19.0,0.0,6.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:39:58Z,1,False,144,Fidel Edwards,1986,Evin Lewis,590,Chris Lynn,339,77,Right,Cover,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,0,0,0,0,0,False,False
254324,3,6.33,5.0,0.0,1.0,19.0,0.0,6.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:40:33Z,2,False,144,Fidel Edwards,1986,Evin Lewis,590,Chris Lynn,345,105,Right,Cover,1,0,1,1,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,1,0,0,0,0,False,False
254324,3,6.33,5.0,0.0,1.0,19.0,0.0,6.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:41:40Z,3,False,144,Fidel Edwards,590,Chris Lynn,1986,Evin Lewis,26,56,Left,Leg Gully,0,1,1,0,LengthBall,OffStump,NotOut,HitPad,FrontFoot,Glance,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,True,False,False,256,False,False,True,False,False,False,0,0,0,1,0,False,False
254324,3,6.33,5.0,0.0,1.0,19.0,0.0,6.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:42:21Z,4,False,144,Fidel Edwards,1986,Evin Lewis,590,Chris Lynn,248,88,Right,Mid On,1,0,1,1,LengthBall,DownLeg,NotOut,None,FrontFoot,Drive,OffCutter,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,1,0,0,0,0,False,False
254324,3,6.33,5.0,0.0,1.0,19.0,0.0,6.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:43:03Z,5,False,144,Fidel Edwards,590,Chris Lynn,1986,Evin Lewis,53,145,Left,Fine Leg,2,0,2,2,BackOfALength,OutsideOff,NotOut,WellTimed,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,2,0,0,0,0,False,False
254324,3,6.33,5.0,0.0,1.0,19.0,0.0,6.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:44:01Z,6,False,144,Fidel Edwards,590,Chris Lynn,1986,Evin Lewis,294,132,Left,Long On,1,0,1,1,Yorker,LegStump,NotOut,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,1,0,0,0,0,False,False
254328,4,5.75,4.0,0.0,0.0,23.0,0.0,4.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:45:45Z,1,False,1595,Veerasammy Permaul,590,Chris Lynn,1986,Evin Lewis,66,108,Left,Short Fine Leg,1,0,1,1,LengthBall,DownLeg,NotOut,None,FrontFoot,Sweep,StockBall,Round,Orthodox,Right,Null,NotReferred,Null,False,False,False,False,False,False,510,False,False,True,False,False,False,1,0,0,0,0,False,False
254328,4,5.75,4.0,0.0,0.0,23.0,0.0,4.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:46:40Z,2,False,1595,Veerasammy Permaul,1986,Evin Lewis,590,Chris Lynn,125,96,Right,Short Fine Leg,1,0,1,1,LengthBall,DownLeg,NotOut,None,FrontFoot,Sweep,StockBall,Over,Orthodox,Right,Null,NotReferred,Null,False,False,False,False,False,False,510,False,False,True,False,False,False,1,0,0,0,0,False,False
254328,4,5.75,4.0,0.0,0.0,23.0,0.0,4.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:47:07Z,3,False,1595,Veerasammy Permaul,590,Chris Lynn,1986,Evin Lewis,321,20,Left,Short Leg,0,0,0,0,LengthBall,LegStump,NotOut,HitPad,FrontFoot,SlogSweep,StockBall,Round,Orthodox,Right,Null,NotReferred,Null,False,False,False,False,False,False,510,False,False,True,False,False,False,0,0,0,0,0,False,False
254328,4,5.75,4.0,0.0,0.0,23.0,0.0,4.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:47:23Z,4,False,1595,Veerasammy Permaul,590,Chris Lynn,1986,Evin Lewis,90,48,Left,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Missed,BacksAway,Slog,StockBall,Round,Orthodox,Right,Null,NotReferred,Null,False,False,False,False,False,False,510,False,False,True,False,False,False,0,0,0,0,0,False,False
