over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude
1626231,16,6.94,4,1,0,111,5,4,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672422,2026-08-11T18:31:28Z,5,82,True,Caught,2988.0,Matthew Revis,139,Liam Dawson,2988,Matthew Revis,128,Zak Crawley,Right,Extra Cover,0,0,0,0,Caught,LengthBall,OffStump,Caught,None,BacksAway,Pushed,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,True,True,1840.0,False,False,False,False,False,False,0,0,0,0,0,False,False,220.0,76.0
1626232,17,6.65,2,0,0,113,5,2,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672423,2026-08-11T18:32:48Z,1,83,False,,,,13841,Josh Tongue,128,Zak Crawley,10322,Tom Lawes,Right,Deep Cover,1,0,1,1,,LengthBall,OutsideOff,,None,FrontFoot,Drive,SlowerBall,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,188.0,142.0
1626232,17,6.65,2,0,0,113,5,2,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672424,2026-08-11T18:33:28Z,2,84,False,,,,13841,Josh Tongue,10322,Tom Lawes,128,Zak Crawley,Right,Wicketkeeper,0,0,0,0,,HalfVolley,OutsideOff,,Missed,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,,
1626232,17,6.65,2,0,0,113,5,2,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672425,2026-08-11T18:33:59Z,3,85,False,,,,13841,Josh Tongue,10322,Tom Lawes,128,Zak Crawley,Right,Wicketkeeper,0,0,0,0,,BackOfALength,OutsideOff,,HitBody,BackFoot,Worked,SeamIn,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,0.0,0.0
1626232,17,6.65,2,0,0,113,5,2,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672426,2026-08-11T18:34:33Z,4,86,False,,,,13841,Josh Tongue,10322,Tom Lawes,128,Zak Crawley,Right,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,,Missed,BackFoot,Pushed,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,,
1626232,17,6.65,2,0,0,113,5,2,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672427,2026-08-11T18:35:07Z,5,87,False,,,,13841,Josh Tongue,10322,Tom Lawes,128,Zak Crawley,Right,Mid On,1,0,1,1,,LengthBall,OutsideOff,,None,FrontFoot,Pushed,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,293.0,86.0
1626233,18,6.72,8,1,0,121,6,8,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672428,2026-08-11T18:36:05Z,1,88,True,Caught,128.0,Zak Crawley,7795,Sonny Baker,128,Zak Crawley,10322,Tom Lawes,Right,Deep Mid Wicket,0,0,0,0,Caught,LengthBall,OffStump,Caught,MisTimed,FrontFoot,Slog,SlowerBall,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,1868.0,False,False,False,False,False,False,0,0,0,0,0,False,True,318.0,155.0
1626233,18,6.72,8,1,0,121,6,8,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672429,2026-08-11T18:37:18Z,2,89,False,,,,7795,Sonny Baker,2672,Brydon Carse,10322,Tom Lawes,Right,,4,0,4,4,,LengthBall,OffStump,,Middled,DownTheTrack,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,4,0,0,0,0,True,False,164.0,167.0
1626233,18,6.72,8,1,0,121,6,8,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672430,2026-08-11T18:37:58Z,3,90,False,,,,7795,Sonny Baker,2672,Brydon Carse,10322,Tom Lawes,Right,Wicketkeeper,0,0,0,0,,BackOfALength,OutsideOff,,Missed,BackFoot,Pull,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,,
1626233,18,6.72,8,1,0,121,6,8,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672431,2026-08-11T18:38:31Z,4,91,False,,,,7795,Sonny Baker,2672,Brydon Carse,10322,Tom Lawes,Right,Wicketkeeper,0,0,0,0,,BackOfALength,OutsideOff,,None,DeepInCrease,Pushed,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,,
