over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude,fieldingPosition
1628507,16,8.62,4,1,0,138,3,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695968,2026-08-16T19:34:18Z,2,78,False,,,,574,Mohammad Amir,2680,Leus du Plooy,1838,Tim Seifert,Left,1,0,1,1,,LengthBall,OutsideOff,,None,MovesInfront,Worked,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,177.0,100.0,Deep Backward Square Leg
1628507,16,8.62,4,1,0,138,3,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695969,2026-08-16T19:34:55Z,3,79,True,Caught,1838.0,Tim Seifert,574,Mohammad Amir,1838,Tim Seifert,2680,Leus du Plooy,Right,0,0,0,0,Caught,Yorker,Wide,Caught,BottomEdge,DeepInCrease,Cut,NoMovement,Over,FastSeam,Left,Null,OutReviewLost,Null,False,False,False,False,False,True,1812.0,False,False,False,False,False,True,0,0,0,0,0,False,True,97.0,21.0,Wicketkeeper
1628507,16,8.62,4,1,0,138,3,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695970,2026-08-16T19:38:12Z,4,80,False,,,,574,Mohammad Amir,671,Heinrich Klaasen,2680,Leus du Plooy,Right,1,0,1,1,,BackOfALength,LegStump,,WellTimed,BackFoot,Drive,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,239.0,83.0,Mid Off
1628507,16,8.62,4,1,0,138,3,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695971,2026-08-16T19:38:48Z,5,81,False,,,,574,Mohammad Amir,2680,Leus du Plooy,671,Heinrich Klaasen,Left,1,0,1,1,,HalfVolley,OutsideOff,,WellTimed,FrontFoot,Pushed,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,243.0,118.0,Long On
1628508,17,8.71,10,0,0,148,3,10,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695972,2026-08-16T19:40:16Z,1,82,False,,,,7,Lewis Gregory,2680,Leus du Plooy,671,Heinrich Klaasen,Left,1,0,1,1,,Yorker,OutsideOff,,MisTimed,FrontFoot,Slog,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,236.0,93.0,Mid On
1628508,17,8.71,10,0,0,148,3,10,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695973,2026-08-16T19:41:15Z,2,83,False,,,,7,Lewis Gregory,671,Heinrich Klaasen,2680,Leus du Plooy,Right,2,0,2,2,,BackOfALength,OutsideOff,,WellTimed,BackFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,2,0,0,0,0,False,False,166.0,122.0,Deep Backward Point
1628508,17,8.71,10,0,0,148,3,10,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695974,2026-08-16T19:41:53Z,3,84,False,,,,7,Lewis Gregory,671,Heinrich Klaasen,2680,Leus du Plooy,Right,1,0,1,1,,LengthBall,OutsideOff,,None,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,10.0,126.0,Deep Backward Square Leg
1628508,17,8.71,10,0,0,148,3,10,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695975,2026-08-16T19:42:27Z,4,85,False,,,,7,Lewis Gregory,2680,Leus du Plooy,671,Heinrich Klaasen,Left,2,0,2,2,,BackOfALength,MiddleStump,,WellTimed,MovesInfront,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,2,0,0,0,0,False,False,215.0,126.0,Deep Mid Wicket
1628508,17,8.71,10,0,0,148,3,10,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695976,2026-08-16T19:43:17Z,5,86,False,,,,7,Lewis Gregory,2680,Leus du Plooy,671,Heinrich Klaasen,Left,4,0,4,4,,Short,DownLeg,,WellTimed,MovesInfront,Hook,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,False,False,False,False,4,0,0,0,0,True,False,113.0,161.0,
1628509,18,8.44,4,0,0,152,3,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695977,2026-08-16T19:44:41Z,1,87,False,,,,77,Ben Sanderson,2680,Leus du Plooy,671,Heinrich Klaasen,Left,1,0,1,1,,LengthBall,OutsideOff,,WellTimed,FrontFoot,Drive,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,344.0,137.0,Deep Cover
1628509,18,8.44,4,0,0,152,3,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695978,2026-08-16T19:45:33Z,2,88,False,,,,77,Ben Sanderson,671,Heinrich Klaasen,2680,Leus du Plooy,Right,0,0,0,0,,LengthBall,OutsideOff,,None,BackFoot,Dropped,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,242.0,38.0,Bowler
1628509,18,8.44,4,0,0,152,3,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695979,2026-08-16T19:46:07Z,3,89,False,,,,77,Ben Sanderson,671,Heinrich Klaasen,2680,Leus du Plooy,Right,2,0,2,2,,LengthBall,MiddleStump,,WellTimed,BacksAway,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,False,False,False,False,2,0,0,0,0,False,False,218.0,132.0,Deep Extra Cover
1628509,18,8.44,4,0,0,152,3,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695980,2026-08-16T19:46:44Z,4,90,False,,,,77,Ben Sanderson,671,Heinrich Klaasen,2680,Leus du Plooy,Right,1,0,1,1,,LengthBall,OutsideOff,,WellTimed,FrontFoot,Drive,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,283.0,144.0,Long On
1628509,18,8.44,4,0,0,152,3,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695981,2026-08-16T19:47:24Z,5,91,False,,,,77,Ben Sanderson,2680,Leus du Plooy,671,Heinrich Klaasen,Left,0,0,0,0,,LengthBall,MiddleStump,,None,BackFoot,Pushed,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,325.0,57.0,Extra Cover
1628510,19,8.21,4,2,0,156,5,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695982,2026-08-16T19:48:27Z,1,92,False,,,,574,Mohammad Amir,671,Heinrich Klaasen,2680,Leus du Plooy,Right,4,0,4,4,,Short,DownLeg,,Middled,BackFoot,Pull,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,False,False,False,False,4,0,0,0,0,True,False,340.0,173.0,
1628510,19,8.21,4,2,0,156,5,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695983,2026-08-16T19:48:59Z,2,93,False,,,,574,Mohammad Amir,671,Heinrich Klaasen,2680,Leus du Plooy,Right,0,0,0,0,,LengthBall,DownLeg,,MisTimed,BackFoot,Drive,OffCutter,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,288.0,84.0,Mid On
1628510,19,8.21,4,2,0,156,5,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695984,2026-08-16T19:49:27Z,3,94,True,Caught,671.0,Heinrich Klaasen,574,Mohammad Amir,671,Heinrich Klaasen,2680,Leus du Plooy,Right,0,0,0,0,Caught,Short,DownLeg,Caught,MisTimed,BackFoot,Pull,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,1812.0,False,False,False,False,False,False,0,0,0,0,0,False,True,325.0,140.0,Deep Mid Wicket
1628510,19,8.21,4,2,0,156,5,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695985,2026-08-16T19:50:59Z,4,95,False,,,,574,Mohammad Amir,3693,Michael Bracewell,2680,Leus du Plooy,Left,0,0,0,0,,LengthBall,OutsideOff,,None,BackFoot,Pushed,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,346.0,64.0,Cover
1628510,19,8.21,4,2,0,156,5,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695986,2026-08-16T19:51:30Z,5,96,True,Lbw,3693.0,Michael Bracewell,574,Mohammad Amir,3693,Michael Bracewell,2680,Leus du Plooy,Left,0,0,0,0,LBW,LengthBall,OutsideOff,Lbw,HitPad,MovesInfront,Flick,NoMovement,Over,FastSeam,Left,Null,OutReviewRetained,Null,False,False,False,False,False,True,1812.0,False,False,False,False,False,True,0,0,0,0,0,False,False,,,
1628511,20,8.1,6,0,0,162,5,6,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695987,2026-08-16T19:54:10Z,1,97,False,,,,77,Ben Sanderson,139,Liam Dawson,2680,Leus du Plooy,Right,0,0,0,0,,LengthBall,OutsideOff,,Missed,DownTheTrack,Pushed,SeamIn,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,,,Wicketkeeper
1628511,20,8.1,6,0,0,162,5,6,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695988,2026-08-16T19:54:46Z,2,98,False,,,,77,Ben Sanderson,139,Liam Dawson,2680,Leus du Plooy,Right,0,0,0,0,,LengthBall,OutsideOff,,Missed,FrontFoot,Slog,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,,,Wicketkeeper
1628511,20,8.1,6,0,0,162,5,6,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695989,2026-08-16T19:55:33Z,3,99,False,,,,77,Ben Sanderson,139,Liam Dawson,2680,Leus du Plooy,Right,6,0,6,6,,LengthBall,OutsideOff,,Middled,FrontFoot,Slog,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,False,False,False,False,6,0,0,0,0,True,False,338.0,174.0,
