over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,referralOutcomeId
56370,4,,11.0,0.0,0.0,23.0,1.0,11.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:47:52Z,5,False,304.0,Prasidh Krishna,1075.0,Steve Smith,197.0,Jos Buttler,349.0,160.0,Left,Deep Mid Wicket,1.0,0,1,1.0,BackOfALength,OutsideOff,None,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56370,4,,11.0,0.0,0.0,23.0,1.0,11.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:48:34Z,6,False,304.0,Prasidh Krishna,197.0,Jos Buttler,1075.0,Steve Smith,297.0,99.0,Left,Mid On,1.0,0,1,1.0,BackOfALength,OutsideOff,MisTimed,BackFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56373,5,,2.0,0.0,0.0,25.0,1.0,2.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:49:52Z,1,False,1911.0,Piyush Chawla,197.0,Jos Buttler,1075.0,Steve Smith,205.0,85.0,Left,Cover,0.0,0,0,0.0,HalfVolley,OffStump,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56373,5,,2.0,0.0,0.0,25.0,1.0,2.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:50:20Z,2,False,1911.0,Piyush Chawla,197.0,Jos Buttler,1075.0,Steve Smith,199.0,82.0,Left,Cover,0.0,0,0,0.0,HalfVolley,OffStump,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56373,5,,2.0,0.0,0.0,25.0,1.0,2.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:50:40Z,3,False,1911.0,Piyush Chawla,197.0,Jos Buttler,1075.0,Steve Smith,310.0,96.0,Left,Mid On,1.0,0,1,1.0,LengthBall,MiddleStump,None,DownTheTrack,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56373,5,,2.0,0.0,0.0,25.0,1.0,2.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:51:22Z,4,False,1911.0,Piyush Chawla,1075.0,Steve Smith,197.0,Jos Buttler,342.0,89.0,Left,Mid Wicket,1.0,0,1,1.0,BackOfALength,OutsideOff,None,BackFoot,Worked,Googly,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56373,5,,2.0,0.0,0.0,25.0,1.0,2.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:51:50Z,5,False,1911.0,Piyush Chawla,197.0,Jos Buttler,1075.0,Steve Smith,312.0,89.0,Left,Mid On,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,Worked,Googly,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56373,5,,2.0,0.0,0.0,25.0,1.0,2.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:52:22Z,6,False,1911.0,Piyush Chawla,197.0,Jos Buttler,1075.0,Steve Smith,0.0,6.0,Left,Short Leg,0.0,0,0,0.0,BackOfALength,OffStump,HitPad,BackFoot,Pull,Slider,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56378,6,,3.0,0.0,0.0,28.0,1.0,3.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:53:48Z,1,False,975.0,Sunil Narine,1075.0,Steve Smith,197.0,Jos Buttler,181.0,90.0,Left,Point,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,Pushed,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56378,6,,3.0,0.0,0.0,28.0,1.0,3.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:54:08Z,2,False,975.0,Sunil Narine,1075.0,Steve Smith,197.0,Jos Buttler,331.0,132.0,Left,Deep Mid Wicket,1.0,0,1,1.0,LengthBall,OffStump,None,FrontFoot,Worked,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
