over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,fieldingPosition,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,matchName
1603246,5,6.4,7,0,0,32,2,7,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534831,2026-06-26T21:53:22Z,2,28,False,3869,Amshi de Silva,13784,Tajinder Singh,729,Quinton de Kock,0.0,0.0,Right,0,0,0,0,HalfVolley,Wide,Missed,DownTheTrack,Drive,AwaySwinger,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Wicketkeeper,,,,,,
1603246,5,6.4,7,0,0,32,2,7,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534832,2026-06-26T21:53:55Z,3,29,False,3869,Amshi de Silva,13784,Tajinder Singh,729,Quinton de Kock,212.0,175.0,Right,4,0,4,4,HalfVolley,OutsideOff,WellTimed,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,,
1603246,5,6.4,7,0,0,32,2,7,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534833,2026-06-26T21:54:33Z,4,30,False,3869,Amshi de Silva,13784,Tajinder Singh,729,Quinton de Kock,13.0,142.0,Right,1,0,1,1,Yorker,OffStump,None,FrontFoot,Flick,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Deep Backward Square Leg,,,,,,
1603246,5,6.4,7,0,0,32,2,7,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534834,2026-06-26T21:55:11Z,5,31,False,3869,Amshi de Silva,729,Quinton de Kock,13784,Tajinder Singh,10.0,42.0,Left,0,0,0,0,BackOfALength,LegStump,None,BackFoot,BackwardDefensive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Backward Point,,,,,,
1603246,5,6.4,7,0,0,32,2,7,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534835,2026-06-26T21:55:46Z,6,32,False,3869,Amshi de Silva,729,Quinton de Kock,13784,Tajinder Singh,301.0,131.0,Left,1,0,1,1,FullToss,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Deep Extra Cover,,,,,,
1603247,6,8.33,18,1,0,50,3,18,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534836,2026-06-26T21:56:50Z,1,33,False,63,Hardus Viljoen,729,Quinton de Kock,13784,Tajinder Singh,50.0,35.0,Left,1,0,1,1,BackOfALength,DownLeg,OutsideEdge,BackFoot,BackwardDefensive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Gully,,,,,,
1603247,6,8.33,18,1,0,50,3,18,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534837,2026-06-26T21:57:34Z,2,34,False,63,Hardus Viljoen,13784,Tajinder Singh,729,Quinton de Kock,278.0,180.0,Right,6,0,6,6,LengthBall,OutsideOff,WellTimed,DownTheTrack,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,,,,,,,
1603247,6,8.33,18,1,0,50,3,18,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534838,2026-06-26T21:58:12Z,3,35,False,63,Hardus Viljoen,13784,Tajinder Singh,729,Quinton de Kock,206.0,174.0,Right,4,0,4,4,LengthBall,OutsideOff,WellTimed,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,,
1603247,6,8.33,18,1,0,50,3,18,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534839,2026-06-26T21:58:51Z,4,36,False,63,Hardus Viljoen,13784,Tajinder Singh,729,Quinton de Kock,246.0,179.0,Right,6,0,6,6,FullToss,OutsideOff,WellTimed,FrontFoot,Drive,SlowerBall,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,,,,,,,
1603247,6,8.33,18,1,0,50,3,18,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534840,2026-06-26T21:59:36Z,5,37,True,63,Hardus Viljoen,13784,Tajinder Singh,729,Quinton de Kock,60.0,66.0,Right,0,0,0,0,Short,OutsideOff,MisTimed,BackFoot,Pull,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,True,Short Fine Leg,Caught,13784.0,Tajinder Singh,Caught,Caught,
1603247,6,8.33,18,1,0,50,3,18,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534841,2026-06-26T22:01:38Z,6,38,False,63,Hardus Viljoen,1846,Nicholas Pooran,729,Quinton de Kock,0.0,0.0,Left,1,1,1,0,LengthBall,LegStump,ShouldersArms,BackFoot,ShouldersArms,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,Wicketkeeper,,,,,,
1603247,6,8.33,18,1,0,50,3,18,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534842,2026-06-26T22:02:10Z,6,39,False,63,Hardus Viljoen,1846,Nicholas Pooran,729,Quinton de Kock,0.0,0.0,Left,0,0,0,0,BackOfALength,OutsideOff,Missed,BackFoot,Cut,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Wicketkeeper,,,,,,
1603248,7,7.57,3,2,0,53,5,3,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534843,2026-06-26T22:03:20Z,1,40,False,3789,Donovan Ferreira,729,Quinton de Kock,1846,Nicholas Pooran,343.0,139.0,Left,2,0,2,2,LengthBall,OffStump,None,FrontFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,False,False,False,False,2,0,0,0,0,False,False,Deep Cover,,,,,,
1603248,7,7.57,3,2,0,53,5,3,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534844,2026-06-26T22:03:43Z,2,41,False,3789,Donovan Ferreira,729,Quinton de Kock,1846,Nicholas Pooran,0.0,0.0,Left,0,0,0,0,BackOfALength,OffStump,None,FrontFoot,ForwardDefensive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Bowler,,,,,,
1603248,7,7.57,3,2,0,53,5,3,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534845,2026-06-26T22:04:00Z,3,42,False,3789,Donovan Ferreira,729,Quinton de Kock,1846,Nicholas Pooran,349.0,70.0,Left,0,0,0,0,Yorker,OffStump,None,FrontFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Cover,,,,,,
1603248,7,7.57,3,2,0,53,5,3,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534846,2026-06-26T22:04:13Z,4,43,True,3789,Donovan Ferreira,729,Quinton de Kock,1846,Nicholas Pooran,,,Left,0,0,0,0,BackOfALength,OffStump,Missed,BacksAway,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,Bowled,729.0,Quinton de Kock,Bowled,Bowled,
1603248,7,7.57,3,2,0,53,5,3,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534847,2026-06-26T22:06:14Z,5,44,True,3789,Donovan Ferreira,1704,Kieron Pollard,1846,Nicholas Pooran,287.0,149.0,Right,0,0,0,0,LengthBall,MiddleStump,MisTimed,FrontFoot,Flick,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,True,Long On,Caught,1704.0,Kieron Pollard,Caught,Caught,
1603248,7,7.57,3,2,0,53,5,3,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534848,2026-06-26T22:07:56Z,6,45,False,3789,Donovan Ferreira,3673,Corbin Bosch,1846,Nicholas Pooran,290.0,145.0,Right,1,0,1,1,HalfVolley,MiddleStump,None,FrontFoot,Flick,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,Long On,,,,,,
1603249,8,7.0,3,0,0,56,5,3,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534849,2026-06-26T22:09:07Z,1,46,False,11914,Abhimanyu Lamba,3673,Corbin Bosch,1846,Nicholas Pooran,206.0,137.0,Right,2,0,2,2,LengthBall,Wide,None,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,2,0,0,0,0,False,False,Deep Cover,,,,,,
1603249,8,7.0,3,0,0,56,5,3,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534850,2026-06-26T22:09:44Z,2,47,False,11914,Abhimanyu Lamba,3673,Corbin Bosch,1846,Nicholas Pooran,319.0,52.0,Right,0,0,0,0,BackOfALength,OutsideOff,None,BackFoot,Worked,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Mid Wicket,,,,,,
1603249,8,7.0,3,0,0,56,5,3,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534851,2026-06-26T22:10:23Z,3,48,False,11914,Abhimanyu Lamba,3673,Corbin Bosch,1846,Nicholas Pooran,237.0,66.0,Right,1,0,1,1,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,Extra Cover,,,,,,
1603249,8,7.0,3,0,0,56,5,3,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534852,2026-06-26T22:11:04Z,4,49,False,11914,Abhimanyu Lamba,1846,Nicholas Pooran,3673,Corbin Bosch,0.0,0.0,Left,0,0,0,0,LengthBall,OutsideOff,None,BackFoot,BackwardDefensive,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Bowler,,,,,,
1603249,8,7.0,3,0,0,56,5,3,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534853,2026-06-26T22:11:38Z,5,50,False,11914,Abhimanyu Lamba,1846,Nicholas Pooran,3673,Corbin Bosch,6.0,36.0,Left,0,0,0,0,HalfVolley,OutsideOff,None,FrontFoot,Pushed,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Backward Point,,,,,,
