over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,matchName
1602532,5,10.8,15,0,0,54,0,15,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530533,2026-06-26T01:48:44Z,3,27,False,,,,1692,Jack Edwards,4482,Shayan Jahangir,1838,Tim Seifert,354.0,171.0,Right,,4,0,4,4,,BackOfALength,OutsideOff,,WellTimed,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,
1602532,5,10.8,15,0,0,54,0,15,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530534,2026-06-26T01:49:22Z,4,28,False,,,,1692,Jack Edwards,4482,Shayan Jahangir,1838,Tim Seifert,330.0,131.0,Right,Deep Square Leg,1,0,1,1,,BackOfALength,OutsideOff,,None,BackFoot,Worked,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,
1602532,5,10.8,15,0,0,54,0,15,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530535,2026-06-26T01:49:54Z,5,29,False,,,,1692,Jack Edwards,1838,Tim Seifert,4482,Shayan Jahangir,0.0,0.0,Right,Wicketkeeper,1,1,1,0,,HalfTracker,OutsideOff,,Left,FrontFoot,Leave,NoMovement,Over,Medium,Right,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,
1602532,5,10.8,15,0,0,54,0,15,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530536,2026-06-26T01:50:29Z,5,30,False,,,,1692,Jack Edwards,1838,Tim Seifert,4482,Shayan Jahangir,350.0,172.0,Right,,6,0,6,6,,BackOfALength,OutsideOff,,WellTimed,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,
1602532,5,10.8,15,0,0,54,0,15,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530537,2026-06-26T01:51:06Z,6,31,False,,,,1692,Jack Edwards,1838,Tim Seifert,4482,Shayan Jahangir,3.0,137.0,Right,Deep Backward Square Leg,1,0,1,1,,BackOfALength,MiddleStump,,None,BacksAway,Flick,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,
1602533,6,9.83,5,0,0,59,0,5,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530538,2026-06-26T01:52:07Z,1,32,False,,,,3479,Saurabh Netravalkar,1838,Tim Seifert,4482,Shayan Jahangir,306.0,86.0,Right,Mid Wicket,1,0,1,1,,LengthBall,LegStump,,None,FrontFoot,Worked,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,
1602533,6,9.83,5,0,0,59,0,5,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530539,2026-06-26T01:52:41Z,2,33,False,,,,3479,Saurabh Netravalkar,4482,Shayan Jahangir,1838,Tim Seifert,351.0,151.0,Right,Deep Square Leg,2,0,2,2,,BackOfALength,DownLeg,,MisTimed,FrontFoot,Slog,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,True,
1602533,6,9.83,5,0,0,59,0,5,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530540,2026-06-26T01:53:17Z,3,34,False,,,,3479,Saurabh Netravalkar,4482,Shayan Jahangir,1838,Tim Seifert,202.0,53.0,Right,Cover,0,0,0,0,,LengthBall,LegStump,,None,FrontFoot,Drive,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602533,6,9.83,5,0,0,59,0,5,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530541,2026-06-26T01:53:54Z,4,35,False,,,,3479,Saurabh Netravalkar,4482,Shayan Jahangir,1838,Tim Seifert,21.0,124.0,Right,Deep Backward Square Leg,1,0,1,1,,BackOfALength,DownLeg,,None,BackFoot,Worked,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,
1602533,6,9.83,5,0,0,59,0,5,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530542,2026-06-26T01:54:32Z,5,36,False,,,,3479,Saurabh Netravalkar,1838,Tim Seifert,4482,Shayan Jahangir,27.0,128.0,Right,Deep Backward Square Leg,1,0,1,1,,BackOfALength,WideDownLeg,,None,BackFoot,Glance,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,
