over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
941251,6,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,1,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941251,6,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,2,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941251,6,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,2,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941251,6,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,2,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941251,6,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,2,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941251,6,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,3,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941251,6,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,4,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941251,6,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,5,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941251,6,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,6,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941247,7,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,1,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941247,7,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,2,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941247,7,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,3,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941247,7,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,4,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941247,7,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,5,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
