over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,over_runrate,appealDismissalTypeId
59937,5,5.0,1.0,3.0,38.0,1.0,5.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:50:56Z,3,False,,,,1027.0,Mitchell Santner,975.0,Sunil Narine,590.0,Chris Lynn,107.0,124.0,Right,Fine Leg,3.0,3,3,0.0,,LengthBall,DownLeg,PlayAndMissLegSide,FrontFoot,Flick,StockBall,Round,Orthodox,Right,Null,Null,True,False,False,False,False,False,124.0,False,False,True,False,False,False,0.0,0.0,3.0,0.0,0.0,False,False,,
59937,5,5.0,1.0,3.0,38.0,1.0,5.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:51:37Z,3,False,,,,1027.0,Mitchell Santner,975.0,Sunil Narine,590.0,Chris Lynn,319.0,111.0,Right,Extra Cover,1.0,0,1,1.0,,HalfVolley,OutsideOff,None,FrontFoot,Drive,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,
59937,5,5.0,1.0,3.0,38.0,1.0,5.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:52:47Z,4,False,,,,1027.0,Mitchell Santner,590.0,Chris Lynn,975.0,Sunil Narine,283.0,130.0,Left,Long On,1.0,0,1,1.0,,LengthBall,MiddleStump,None,FrontFoot,Pushed,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,
59937,5,5.0,1.0,3.0,38.0,1.0,5.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:53:15Z,5,True,Caught,975.0,Sunil Narine,1027.0,Mitchell Santner,975.0,Sunil Narine,590.0,Chris Lynn,248.0,160.0,Right,Long On,0.0,0,0,0.0,Caught,HalfVolley,LegStump,MisTimed,FrontFoot,Drive,StockBall,Round,Orthodox,Right,Out1stUmpire,Null,False,False,False,False,False,False,124.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
59937,5,5.0,1.0,3.0,38.0,1.0,5.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:55:29Z,6,False,,,,1027.0,Mitchell Santner,281.0,Nitish Rana,590.0,Chris Lynn,42.0,77.0,Right,Short Third Man,0.0,0,0,0.0,,LengthBall,DownLeg,ThickEdge,FrontFoot,ForwardDefensive,ArmBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
59952,6,11.0,0.0,0.0,49.0,1.0,11.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:56:46Z,1,False,,,,517.0,Ravindra Jadeja,590.0,Chris Lynn,281.0,Nitish Rana,270.0,40.0,Left,Bowler,0.0,0,0,0.0,,LengthBall,LegStump,None,FrontFoot,Pushed,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,87.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
59952,6,11.0,0.0,0.0,49.0,1.0,11.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:57:01Z,2,False,,,,517.0,Ravindra Jadeja,590.0,Chris Lynn,281.0,Nitish Rana,201.0,92.0,Left,Cover,1.0,0,1,1.0,,LengthBall,OutsideOff,None,FrontFoot,Drive,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,87.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,
59952,6,11.0,0.0,0.0,49.0,1.0,11.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:57:44Z,3,False,,,,517.0,Ravindra Jadeja,281.0,Nitish Rana,590.0,Chris Lynn,336.0,206.0,Right,Deep Cover,4.0,0,4,4.0,,LengthBall,Wide,WellTimed,FrontFoot,Drive,StockBall,Over,Orthodox,Right,Null,Null,False,False,False,False,False,False,87.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,
59952,6,11.0,0.0,0.0,49.0,1.0,11.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:58:11Z,4,False,,,,517.0,Ravindra Jadeja,281.0,Nitish Rana,590.0,Chris Lynn,357.0,65.0,Right,Point,1.0,0,1,1.0,,LengthBall,OutsideOff,None,FrontFoot,Dropped,StockBall,Over,Orthodox,Right,Null,Null,False,False,False,False,False,False,87.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,
59952,6,11.0,0.0,0.0,49.0,1.0,11.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:59:09Z,5,False,,,,517.0,Ravindra Jadeja,590.0,Chris Lynn,281.0,Nitish Rana,198.0,197.0,Left,Deep Cover,4.0,0,4,4.0,,LengthBall,OutsideOff,WellTimed,BacksAway,Cut,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,87.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,
