over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty
1115130,12,5.42,8.0,0.0,0.0,65.0,2.0,8.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:46:22Z,5,60,False,,,,2644,George Linde,5,Tom Abell,80,Stephen Eskinazi,170,139,Deep Backward Point,1,0,1,1,,LengthBall,OffStump,NotOut,None,BackFoot,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,53,False,False,False,False,False,False,1,0,0,0,0,False,False,
1115140,13,5.62,9.0,0.0,1.0,73.0,2.0,9.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:48:12Z,1,61,False,,,,65,Lockie Ferguson,5,Tom Abell,80,Stephen Eskinazi,165,129,Deep Backward Point,2,0,2,2,,LengthBall,Wide,NotOut,None,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,1,False,False,False,False,False,False,2,0,0,0,0,False,False,0.0
1115140,13,5.62,9.0,0.0,1.0,73.0,2.0,9.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:47:38Z,1,60,False,,,,65,Lockie Ferguson,5,Tom Abell,80,Stephen Eskinazi,90,48,Wicketkeeper,1,1,1,0,,HalfVolley,DownLeg,NotOut,PlayAndMissLegSide,FrontFoot,Glance,NoMovement,Over,Fast,Right,Null,NotReferred,Null,True,False,False,False,False,False,1,False,False,False,False,False,False,1,0,1,0,0,False,False,0.0
1115140,13,5.62,9.0,0.0,1.0,73.0,2.0,9.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:48:44Z,2,62,False,,,,65,Lockie Ferguson,5,Tom Abell,80,Stephen Eskinazi,143,143,Third Man,2,0,2,2,,HalfVolley,Wide,NotOut,WellTimed,FrontFoot,Cut,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,1,False,False,False,False,False,False,2,0,0,0,0,False,False,0.0
1115140,13,5.62,9.0,0.0,1.0,73.0,2.0,9.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:49:34Z,3,63,False,,,,65,Lockie Ferguson,5,Tom Abell,80,Stephen Eskinazi,71,145,Fine Leg,1,0,1,1,,BackOfALength,Wide,NotOut,MisTimed,BackFoot,Flick,SlowerBall,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,1,False,False,False,False,False,False,1,0,0,0,0,False,False,0.0
1115140,13,5.62,9.0,0.0,1.0,73.0,2.0,9.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:50:03Z,4,64,False,,,,65,Lockie Ferguson,80,Stephen Eskinazi,5,Tom Abell,199,142,Deep Cover,2,0,2,2,,FullToss,MiddleStump,NotOut,None,BacksAway,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,1,False,False,False,False,False,False,2,0,0,0,0,False,False,0.0
1115140,13,5.62,9.0,0.0,1.0,73.0,2.0,9.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:50:39Z,5,65,False,,,,65,Lockie Ferguson,80,Stephen Eskinazi,5,Tom Abell,341,151,Deep Mid Wicket,1,0,1,1,,LengthBall,OffStump,NotOut,None,FrontFoot,Worked,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,1,False,False,False,False,False,False,1,0,0,0,0,False,False,0.0
1115152,14,6.07,12.0,0.0,0.0,85.0,2.0,12.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:51:42Z,1,66,False,,,,320,Marcus Stoinis,5,Tom Abell,80,Stephen Eskinazi,256,188,Long Off,4,0,4,4,,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,1,False,False,False,False,False,False,4,0,0,0,0,False,True,0.0
1115152,14,6.07,12.0,0.0,0.0,85.0,2.0,12.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:52:23Z,2,67,False,,,,320,Marcus Stoinis,5,Tom Abell,80,Stephen Eskinazi,311,231,Long On,4,0,4,4,,HalfVolley,OutsideOff,NotOut,WellTimed,FrontFoot,Flick,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,1,False,False,False,False,False,False,4,0,0,0,0,False,True,0.0
1115152,14,6.07,12.0,0.0,0.0,85.0,2.0,12.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:53:08Z,3,68,False,,,,320,Marcus Stoinis,5,Tom Abell,80,Stephen Eskinazi,38,133,Fine Leg,2,0,2,2,,Yorker,OutsideOff,NotOut,InsideEdge,FrontFoot,Worked,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,1,False,False,False,False,False,False,2,0,0,0,0,False,False,0.0
