over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId
75474,7,6.92,5.0,0.0,0.0,5.0,46.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:58:48Z,3,False,628,Jason Holder,883,Hashim Amla,729,Quinton de Kock,188,129,Left,Deep Point,2,0,2,2,LengthBall,Null,Edged,0,Pushed,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,2,0,0,0,0,False,False,
75474,7,6.92,5.0,0.0,0.0,5.0,46.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T10:59:30Z,4,False,628,Jason Holder,883,Hashim Amla,729,Quinton de Kock,118,44,Left,Second Slip,0,0,0,0,LengthBall,Null,Played,0,Steer,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,0,0,0,0,0,False,False,
75474,7,6.92,5.0,0.0,0.0,5.0,46.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:00:06Z,5,False,628,Jason Holder,883,Hashim Amla,729,Quinton de Kock,180,76,Left,Point,0,0,0,0,LengthBall,Null,Played,0,Drive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,0,0,0,0,0,False,False,
75474,7,6.92,5.0,0.0,0.0,5.0,46.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:00:40Z,6,False,628,Jason Holder,883,Hashim Amla,729,Quinton de Kock,35,137,Left,Fine Leg,1,0,1,1,LengthBall,Null,Played,0,Glance,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,1,0,0,0,0,False,False,
75475,8,6.8,9.0,0.0,0.0,9.0,55.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:01:39Z,1,False,1724,Sheldon Cottrell,883,Hashim Amla,729,Quinton de Kock,352,176,Left,Deep Mid Wicket,4,0,4,4,BackOfALength,Null,Played,0,Pull,Null,Over,Fast,Right,Null,Null,False,False,False,False,True,False,87,False,False,True,False,False,False,4,0,0,0,0,False,True,
75475,8,6.8,9.0,0.0,0.0,9.0,55.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:02:21Z,2,False,1724,Sheldon Cottrell,883,Hashim Amla,729,Quinton de Kock,203,82,Left,Cover,0,0,0,0,LengthBall,Null,Played,0,Pushed,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,0,0,0,0,0,False,False,
75475,8,6.8,9.0,0.0,0.0,9.0,55.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:02:57Z,3,False,1724,Sheldon Cottrell,883,Hashim Amla,729,Quinton de Kock,201,86,Left,Cover,0,0,0,0,LengthBall,Null,Played,0,Drive,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,0,0,0,0,0,False,False,
75475,8,6.8,9.0,0.0,0.0,9.0,55.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:03:29Z,4,False,1724,Sheldon Cottrell,883,Hashim Amla,729,Quinton de Kock,201,79,Left,Cover,0,0,0,0,LengthBall,Null,Played,0,Pushed,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,0,0,0,0,0,False,False,
75475,8,6.8,9.0,0.0,0.0,9.0,55.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:04:04Z,5,False,1724,Sheldon Cottrell,883,Hashim Amla,729,Quinton de Kock,147,137,Left,Third Man,1,0,1,1,LengthBall,Null,Played,0,Steer,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,1,0,0,0,0,False,False,
75475,8,6.8,9.0,0.0,0.0,9.0,55.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:04:47Z,6,False,1724,Sheldon Cottrell,729,Quinton de Kock,883,Hashim Amla,200,178,Right,Deep Mid Wicket,4,0,4,4,BackOfALength,Null,HitHard,0,Pull,Null,Over,Fast,Right,Null,Null,False,False,False,False,True,False,87,False,False,True,False,False,False,4,0,0,0,0,False,True,
75476,9,6.59,1.0,0.0,0.0,1.0,56.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:06:26Z,1,False,630,Shannon Gabriel,883,Hashim Amla,729,Quinton de Kock,322,23,Left,Short Leg,0,0,0,0,BackOfALength,Null,MisTimed,0,Worked,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,0,0,0,0,0,False,False,
75476,9,6.59,1.0,0.0,0.0,1.0,56.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:07:07Z,2,False,630,Shannon Gabriel,883,Hashim Amla,729,Quinton de Kock,10,55,Left,Leg Gully,0,0,0,0,LengthBall,Null,Edged,0,Pushed,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,0,0,0,0,0,False,False,
75476,9,6.59,1.0,0.0,0.0,1.0,56.0,0.0,1707,,5325,World Cup warm-up matches,1,21,South Africa Men,24,West Indies Men,2019-05-26T11:49:50Z,3,False,1485,Andre Russell,883,Hashim Amla,729,Quinton de Kock,212,20,Left,Silly Point,0,0,0,0,LengthBall,Null,Edged,0,Worked,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28,False,False,True,False,False,False,0,0,0,0,0,False,False,
