over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId,referralOutcomeId
92962,4,9.71,9.0,0.0,0.0,34.0,0.0,9.0,2029,,188,ICC Men's ODI World Cup 2019,1,21,South Africa Men,23,Australia Men,2019-07-06T13:47:27Z,4,False,,,,965.0,Jason Behrendorff,668.0,Aiden Markram,729.0,Quinton de Kock,220.0,192.0,Left,Deep Extra Cover,4.0,0,4,4.0,,LengthBall,MiddleStump,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,
92962,4,9.71,9.0,0.0,0.0,34.0,0.0,9.0,2029,,188,ICC Men's ODI World Cup 2019,1,21,South Africa Men,23,Australia Men,2019-07-06T13:48:02Z,5,False,,,,965.0,Jason Behrendorff,668.0,Aiden Markram,729.0,Quinton de Kock,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,,Short,DownLeg,Left,SwayedAway,Leave,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
92962,4,9.71,9.0,0.0,0.0,34.0,0.0,9.0,2029,,188,ICC Men's ODI World Cup 2019,1,21,South Africa Men,23,Australia Men,2019-07-06T13:48:34Z,6,False,,,,965.0,Jason Behrendorff,668.0,Aiden Markram,729.0,Quinton de Kock,328.0,47.0,Left,Short Mid Wicket,0.0,0,0,0.0,,BackOfALength,LegStump,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
92965,5,9.33,8.0,0.0,0.0,42.0,0.0,8.0,2029,,188,ICC Men's ODI World Cup 2019,1,21,South Africa Men,23,Australia Men,2019-07-06T13:49:32Z,1,False,,,,724.0,Mitchell Starc,729.0,Quinton de Kock,668.0,Aiden Markram,109.0,176.0,Right,Fine Leg,4.0,0,4,4.0,,LengthBall,MiddleStump,None,FrontFoot,Flick,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,
92965,5,9.33,8.0,0.0,0.0,42.0,0.0,8.0,2029,,188,ICC Men's ODI World Cup 2019,1,21,South Africa Men,23,Australia Men,2019-07-06T13:50:06Z,2,False,,,,724.0,Mitchell Starc,729.0,Quinton de Kock,668.0,Aiden Markram,1.0,27.0,Right,Silly Point,0.0,0,0,0.0,,BackOfALength,OffStump,HitPad,BackFoot,Flick,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
92965,5,9.33,8.0,0.0,0.0,42.0,0.0,8.0,2029,,188,ICC Men's ODI World Cup 2019,1,21,South Africa Men,23,Australia Men,2019-07-06T13:50:48Z,3,False,,,,724.0,Mitchell Starc,729.0,Quinton de Kock,668.0,Aiden Markram,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,,LengthBall,OutsideOff,Missed,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
92965,5,9.33,8.0,0.0,0.0,42.0,0.0,8.0,2029,,188,ICC Men's ODI World Cup 2019,1,21,South Africa Men,23,Australia Men,2019-07-06T13:51:31Z,4,False,,,,724.0,Mitchell Starc,729.0,Quinton de Kock,668.0,Aiden Markram,332.0,197.0,Right,Deep Extra Cover,4.0,0,4,4.0,,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,
92965,5,9.33,8.0,0.0,0.0,42.0,0.0,8.0,2029,,188,ICC Men's ODI World Cup 2019,1,21,South Africa Men,23,Australia Men,2019-07-06T13:52:10Z,5,False,,,,724.0,Mitchell Starc,729.0,Quinton de Kock,668.0,Aiden Markram,332.0,53.0,Right,Short Extra Cover,0.0,0,0,0.0,,BackOfALength,OutsideOff,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
92965,5,9.33,8.0,0.0,0.0,42.0,0.0,8.0,2029,,188,ICC Men's ODI World Cup 2019,1,21,South Africa Men,23,Australia Men,2019-07-06T13:52:46Z,6,False,,,,724.0,Mitchell Starc,729.0,Quinton de Kock,668.0,Aiden Markram,236.0,25.0,Right,Short Leg,0.0,0,0,0.0,,LengthBall,OutsideOff,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
92968,6,8.73,6.0,0.0,0.0,48.0,0.0,6.0,2029,,188,ICC Men's ODI World Cup 2019,1,21,South Africa Men,23,Australia Men,2019-07-06T13:53:54Z,1,False,,,,726.0,Nathan Lyon,668.0,Aiden Markram,729.0,Quinton de Kock,294.0,78.0,Left,Mid On,1.0,0,1,1.0,,LengthBall,OutsideOff,None,BackFoot,Worked,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,
