over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
86073,37,5.34,3.0,0.0,1.0,195.0,3.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:14:28Z,5,False,676.0,Imran Tahir,635.0,Haris Sohail,568.0,Babar Azam,339.0,50.0,Right,Short Extra Cover,1.0,0,1,1.0,LengthBall,MiddleStump,,None,FrontFoot,Dropped,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
86073,37,5.34,3.0,0.0,1.0,195.0,3.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:14:56Z,6,False,676.0,Imran Tahir,568.0,Babar Azam,635.0,Haris Sohail,223.0,68.0,Left,Short Extra Cover,0.0,0,0,0.0,LengthBall,OffStump,,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
86075,38,5.39,11.0,0.0,0.0,206.0,3.0,11.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:16:15Z,1,False,1108.0,Chris Morris,635.0,Haris Sohail,568.0,Babar Azam,15.0,72.0,Right,Backward Point,1.0,0,1,1.0,BackOfALength,OutsideOff,,None,BackFoot,Cut,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
86075,38,5.39,11.0,0.0,0.0,206.0,3.0,11.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:17:01Z,2,False,1108.0,Chris Morris,568.0,Babar Azam,635.0,Haris Sohail,23.0,132.0,Left,Deep Backward Square Leg,1.0,0,1,1.0,HalfVolley,DownLeg,,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
86075,38,5.39,11.0,0.0,0.0,206.0,3.0,11.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:18:14Z,3,False,1108.0,Chris Morris,635.0,Haris Sohail,568.0,Babar Azam,42.0,129.0,Right,Third Man,1.0,0,1,1.0,LengthBall,OutsideOff,,ThickEdge,BacksAway,Drive,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
86075,38,5.39,11.0,0.0,0.0,206.0,3.0,11.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:18:58Z,4,False,1108.0,Chris Morris,568.0,Babar Azam,635.0,Haris Sohail,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,BackOfALength,OutsideOff,,Missed,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
86075,38,5.39,11.0,0.0,0.0,206.0,3.0,11.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:19:38Z,5,False,1108.0,Chris Morris,568.0,Babar Azam,635.0,Haris Sohail,104.0,167.0,Left,Third Man,4.0,0,4,4.0,BackOfALength,OutsideOff,,WellTimed,FrontFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
86075,38,5.39,11.0,0.0,0.0,206.0,3.0,11.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:20:24Z,6,False,1108.0,Chris Morris,568.0,Babar Azam,635.0,Haris Sohail,35.0,159.0,Left,Fine Leg,4.0,0,4,4.0,LengthBall,OffStump,,WellTimed,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
86077,39,5.53,7.0,0.0,1.0,213.0,3.0,7.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:21:35Z,1,False,676.0,Imran Tahir,635.0,Haris Sohail,568.0,Babar Azam,334.0,185.0,Right,Deep Cover,4.0,0,4,4.0,HalfVolley,OutsideOff,,WellTimed,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,True,False,73.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
86077,39,5.53,7.0,0.0,1.0,213.0,3.0,7.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T13:22:17Z,2,False,676.0,Imran Tahir,635.0,Haris Sohail,568.0,Babar Azam,176.0,85.0,Right,Square Leg,0.0,0,0,0.0,LengthBall,LegStump,,None,FrontFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
