over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId
47638,32,,5.0,0.0,0.0,192.0,3.0,5.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,6,False,Long On,0,1,False,False,2019-03-10T10:19:24Z,706.0,Kamindu Mendis,730.0,Rassie van der Dussen,731.0,David Miller,287.0,140.0,Left,1.0,1.0,BackOfALength,OffStump,None,BackFoot,Drive,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,78.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,,
47640,33,,1.0,0.0,0.0,193.0,3.0,1.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,1,False,Mid Off,0,0,False,False,2019-03-10T10:23:23Z,710.0,Kasun Rajitha,730.0,Rassie van der Dussen,731.0,David Miller,240.0,89.0,Left,0.0,0.0,HalfVolley,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,103.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,
47640,33,,1.0,0.0,0.0,193.0,3.0,1.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,2,False,Deep Point,0,1,False,False,2019-03-10T10:23:43Z,710.0,Kasun Rajitha,730.0,Rassie van der Dussen,731.0,David Miller,180.0,126.0,Left,1.0,1.0,BackOfALength,OutsideOff,None,BackFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,103.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,,
47640,33,,1.0,0.0,0.0,193.0,3.0,1.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,3,False,Wicketkeeper,0,0,False,False,2019-03-10T10:24:32Z,710.0,Kasun Rajitha,731.0,David Miller,730.0,Rassie van der Dussen,90.0,48.0,Right,0.0,0.0,LengthBall,OutsideOff,Missed,FrontFoot,Drive,SeamAway,Over,Fast,Left,Null,Null,False,False,False,False,False,False,103.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,
47640,33,,1.0,0.0,0.0,193.0,3.0,1.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,4,False,Short Extra Cover,0,0,False,False,2019-03-10T10:25:05Z,710.0,Kasun Rajitha,731.0,David Miller,730.0,Rassie van der Dussen,330.0,57.0,Right,0.0,0.0,LengthBall,MiddleStump,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,103.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,
47640,33,,1.0,0.0,0.0,193.0,3.0,1.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,5,False,Short Extra Cover,0,0,False,False,2019-03-10T10:25:39Z,710.0,Kasun Rajitha,731.0,David Miller,730.0,Rassie van der Dussen,314.0,45.0,Right,0.0,0.0,LengthBall,DownLeg,HitPad,FrontFoot,Worked,NoMovement,Over,Fast,Left,NotOut2ndUmpire,Null,False,False,False,False,False,True,103.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,Lbw
47640,33,,1.0,0.0,0.0,193.0,3.0,1.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,6,False,Wicketkeeper,0,0,False,False,2019-03-10T10:26:08Z,710.0,Kasun Rajitha,731.0,David Miller,730.0,Rassie van der Dussen,90.0,48.0,Right,0.0,0.0,LengthBall,OffStump,ShouldersArms,FrontFoot,NoShot,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,103.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,
47645,34,,5.0,0.0,0.0,198.0,3.0,5.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,1,False,Cover,0,1,False,False,2019-03-10T10:27:03Z,706.0,Kamindu Mendis,730.0,Rassie van der Dussen,731.0,David Miller,205.0,90.0,Left,1.0,1.0,BackOfALength,OutsideOff,None,BackFoot,Cut,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,78.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,,
47645,34,,5.0,0.0,0.0,198.0,3.0,5.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,2,False,Cover,0,1,False,False,2019-03-10T10:27:27Z,706.0,Kamindu Mendis,731.0,David Miller,730.0,Rassie van der Dussen,345.0,81.0,Right,1.0,1.0,LengthBall,OutsideOff,None,FrontFoot,Pushed,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,78.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,,
47645,34,,5.0,0.0,0.0,198.0,3.0,5.0,1058,,122,South Africa v Sri Lanka ODI - Men's,1,21,South Africa Men,9,Sri Lanka Men,3,False,Bowler,0,0,False,False,2019-03-10T10:27:42Z,706.0,Kamindu Mendis,730.0,Rassie van der Dussen,731.0,David Miller,270.0,40.0,Left,0.0,0.0,LengthBall,OutsideOff,None,BackFoot,Drive,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,78.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,
