over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,referralOutcomeId
52815,43,,3.0,0.0,0.0,246.0,5.0,3.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:01:43Z,3,False,852.0,Adam Zampa,1181.0,Imad Wasim,2463.0,Saad Ali,336.0,95.0,Right,Cover,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52815,43,,3.0,0.0,0.0,246.0,5.0,3.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:02:04Z,4,False,852.0,Adam Zampa,1181.0,Imad Wasim,2463.0,Saad Ali,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,LengthBall,OutsideOff,Missed,BackFoot,Cut,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52815,43,,3.0,0.0,0.0,246.0,5.0,3.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:02:27Z,5,False,852.0,Adam Zampa,1181.0,Imad Wasim,2463.0,Saad Ali,288.0,31.0,Right,Silly Mid Off,0.0,0,0,0.0,LengthBall,OutsideOff,BottomEdge,BackFoot,Cut,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52815,43,,3.0,0.0,0.0,246.0,5.0,3.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:03:02Z,6,False,852.0,Adam Zampa,1181.0,Imad Wasim,2463.0,Saad Ali,221.0,118.0,Right,Mid On,1.0,0,1,1.0,LengthBall,MiddleStump,None,BackFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52816,44,,9.0,1.0,0.0,255.0,6.0,9.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:03:37Z,1,False,965.0,Jason Behrendorff,1181.0,Imad Wasim,2463.0,Saad Ali,273.0,69.0,Right,Silly Mid Off,1.0,0,1,1.0,BackOfALength,OutsideOff,None,FrontFoot,Slog,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52816,44,,9.0,1.0,0.0,255.0,6.0,9.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:04:19Z,2,False,965.0,Jason Behrendorff,2463.0,Saad Ali,1181.0,Imad Wasim,327.0,155.0,Right,Deep Extra Cover,1.0,0,1,1.0,BackOfALength,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52816,44,,9.0,1.0,0.0,255.0,6.0,9.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:05:20Z,3,False,965.0,Jason Behrendorff,1181.0,Imad Wasim,2463.0,Saad Ali,280.0,198.0,Right,Long Off,6.0,0,6,6.0,LengthBall,OutsideOff,Middled,FrontFoot,Slog,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,True,False,32.0,False,False,False,False,False,False,6.0,0.0,0.0,0.0,0.0,False,True,,,,,,
52816,44,,9.0,1.0,0.0,255.0,6.0,9.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:06:34Z,4,False,965.0,Jason Behrendorff,1181.0,Imad Wasim,2463.0,Saad Ali,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,LengthBall,OutsideOff,Missed,FrontFoot,Cut,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52816,44,,9.0,1.0,0.0,255.0,6.0,9.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:06:52Z,5,False,965.0,Jason Behrendorff,1181.0,Imad Wasim,2463.0,Saad Ali,216.0,139.0,Right,Deep Mid Wicket,1.0,0,1,1.0,LengthBall,OutsideOff,None,FrontFoot,Worked,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52816,44,,9.0,1.0,0.0,255.0,6.0,9.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:07:25Z,6,True,965.0,Jason Behrendorff,2463.0,Saad Ali,1181.0,Imad Wasim,195.0,160.0,Right,Deep Mid Wicket,0.0,0,0,0.0,BackOfALength,OutsideOff,None,FrontFoot,Slog,NoMovement,Over,Fast,Right,Out1stUmpire,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,Caught,2463.0,Saad Ali,Caught,,
52818,45,,13.0,0.0,1.0,267.0,6.0,13.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:09:29Z,1,False,852.0,Adam Zampa,719.0,Yasir Shah,1181.0,Imad Wasim,90.0,48.0,Left,Wicketkeeper,1.0,1,1,0.0,LengthBall,LegStump,PlayAndMissLegSide,BackFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,True,False,False,False,False,False,90.0,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,False,False,,,,,,
52818,45,,13.0,0.0,1.0,267.0,6.0,13.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:09:50Z,1,False,852.0,Adam Zampa,719.0,Yasir Shah,1181.0,Imad Wasim,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,LengthBall,OffStump,Missed,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52818,45,,13.0,0.0,1.0,267.0,6.0,13.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:10:07Z,2,False,852.0,Adam Zampa,719.0,Yasir Shah,1181.0,Imad Wasim,198.0,79.0,Left,Cover,1.0,0,1,1.0,BackOfALength,OffStump,None,BackFoot,Cut,Googly,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52818,45,,13.0,0.0,1.0,267.0,6.0,13.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:10:49Z,3,False,852.0,Adam Zampa,1181.0,Imad Wasim,719.0,Yasir Shah,207.0,204.0,Right,Deep Mid Wicket,4.0,0,4,4.0,HalfVolley,MiddleStump,Middled,FrontFoot,Slog,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52818,45,,13.0,0.0,1.0,267.0,6.0,13.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:11:17Z,4,False,852.0,Adam Zampa,1181.0,Imad Wasim,719.0,Yasir Shah,281.0,203.0,Right,Long Off,4.0,0,4,4.0,HalfVolley,OutsideOff,WellTimed,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52818,45,,13.0,0.0,1.0,267.0,6.0,13.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:11:44Z,5,False,852.0,Adam Zampa,1181.0,Imad Wasim,719.0,Yasir Shah,296.0,168.0,Right,Long Off,1.0,0,1,1.0,HalfVolley,OffStump,MisTimed,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52818,45,,13.0,0.0,1.0,267.0,6.0,13.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:12:21Z,6,False,852.0,Adam Zampa,719.0,Yasir Shah,1181.0,Imad Wasim,194.0,152.0,Left,Deep Cover,1.0,0,1,1.0,LengthBall,LegStump,None,BackFoot,Steer,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52820,46,,6.0,0.0,0.0,273.0,6.0,6.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:13:48Z,1,False,1015.0,Kane Richardson,719.0,Yasir Shah,1181.0,Imad Wasim,331.0,78.0,Left,Mid Wicket,0.0,0,0,0.0,LengthBall,OffStump,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52820,46,,6.0,0.0,0.0,273.0,6.0,6.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:14:17Z,2,False,1015.0,Kane Richardson,719.0,Yasir Shah,1181.0,Imad Wasim,54.0,67.0,Left,Short Fine Leg,1.0,0,1,1.0,LengthBall,OutsideOff,BottomEdge,FrontFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52820,46,,6.0,0.0,0.0,273.0,6.0,6.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:14:55Z,3,False,1015.0,Kane Richardson,1181.0,Imad Wasim,719.0,Yasir Shah,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,BackOfALength,MiddleStump,Missed,FrontFoot,Drive,SlowerBall,Over,Fast,Left,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52820,46,,6.0,0.0,0.0,273.0,6.0,6.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:15:15Z,4,False,1015.0,Kane Richardson,1181.0,Imad Wasim,719.0,Yasir Shah,322.0,77.0,Right,Extra Cover,0.0,0,0,0.0,BackOfALength,OffStump,None,FrontFoot,Slog,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52820,46,,6.0,0.0,0.0,273.0,6.0,6.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:15:49Z,5,False,1015.0,Kane Richardson,1181.0,Imad Wasim,719.0,Yasir Shah,353.0,187.0,Right,Deep Point,4.0,0,4,4.0,BackOfALength,MiddleStump,WellTimed,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,
52820,46,,6.0,0.0,0.0,273.0,6.0,6.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:16:23Z,6,False,1015.0,Kane Richardson,1181.0,Imad Wasim,719.0,Yasir Shah,241.0,160.0,Right,Long On,1.0,0,1,1.0,BackOfALength,LegStump,None,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,32.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52821,47,,14.0,0.0,0.0,287.0,6.0,14.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:17:36Z,1,False,965.0,Jason Behrendorff,1181.0,Imad Wasim,719.0,Yasir Shah,171.0,145.0,Right,Deep Backward Square Leg,2.0,0,2,2.0,LengthBall,OutsideOff,None,FrontFoot,Flick,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False,,,,,,
52821,47,,14.0,0.0,0.0,287.0,6.0,14.0,1178,,5065,Pakistan v Australia ODIs - Men,2,11,Pakistan Men,23,Australia Men,2019-03-31T19:18:21Z,2,False,965.0,Jason Behrendorff,1181.0,Imad Wasim,719.0,Yasir Shah,112.0,183.0,Right,Fine Leg,4.0,0,4,4.0,HalfVolley,OffStump,InsideEdge,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,90.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,
